代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000738	中航动控	1.69	10.02	18.56	1.69	18.56	--  	911013	0.00	          7.95	17.20	18.56	16.23	16.87	   102.66	1628124032	     114564.22	江苏	        212.63亿	19970626	
000768	中航飞机	1.60	10.03	17.55	1.60	17.55	--  	1572676	0.00	          6.72	16.27	17.55	15.67	15.95	   750.67	2649387520	     233980.20	陕西	        410.64亿	19970626	
000901	航天科技	2.85	10.02	31.30	2.85	31.30	--  	416409	0.00	         12.87	29.19	31.30	27.70	28.45	   478.24	1249300864	      32362.41	黑龙江	        101.29亿	19990401	
002023	海特高新	1.69	6.86	26.32	1.69	26.32	26.33	278680	0.11	         10.21	24.67	26.58	23.50	24.63	    60.75	707027456	      27297.83	四川	         71.85亿	20040721	
002111	威海广泰	1.66	8.76	20.60	1.66	20.60	20.61	243711	0.04	          9.24	19.04	20.75	18.20	18.94	    64.34	482032640	      26366.33	山东	         54.31亿	20070126	
600038	哈飞股份	3.70	9.67	41.96	3.70	41.99	42.00	339664	1.32	          8.65	39.30	42.00	36.27	38.26	    76.67	1358632064	      39265.00	黑龙江	        164.76亿	20001218	
600118	中国卫星	2.32	10.00	25.52	2.32	25.52	--  	1081137	0.00	          9.14	23.48	25.52	22.38	23.20	   105.68	2638683904	     118248.90	北京	        301.77亿	19970908	
600316	洪都航空	2.77	10.00	30.48	2.77	30.48	--  	863509	0.00	         12.04	28.40	30.48	26.00	27.71	  1042.02	2515816448	      71711.45	江西	        218.58亿	20001215	
600343	航天动力	1.75	10.01	19.23	1.75	19.23	--  	855254	0.00	         14.86	17.80	19.23	16.77	17.48	   383.38	1572377216	      57536.64	陕西	        110.64亿	20030408	
600372	中航电子	2.02	7.18	30.14	2.02	30.18	30.19	534936	0.13	          3.04	28.66	30.51	26.38	28.12	   106.43	1564120448	     175916.30	江西	        530.21亿	20010706	
600391	成发科技	2.90	10.01	31.88	2.90	31.88	--  	399641	0.00	         12.11	29.90	31.88	27.84	28.98	   297.93	1206315008	      33012.94	四川	        105.25亿	20011212	
600879	航天电子	1.24	8.31	16.17	1.24	16.16	16.17	1452491	0.00	         13.97	15.26	16.30	14.43	14.93	   110.34	2269947904	     103953.70	湖北	        168.09亿	19951115	
600893	航空动力	2.93	10.00	32.23	2.93	32.23	--  	692729	0.00	          6.38	30.27	32.23	28.50	29.30	   101.23	2143271040	     108622.39	陕西	        350.09亿	19960408	
数据来源:通达信
