代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
002047	宝鹰股份	-0.29	-4.75	5.82	-0.29	5.82	5.83	132225	0.17	          3.82	6.11	6.11	5.79	6.11	    29.18	78205016	      34604.21	深圳	         20.14亿	20050531	
002081	金 螳 螂	-0.86	-4.62	17.75	-0.86	17.75	17.76	180680	0.11	          1.09	18.57	18.57	17.58	18.61	    17.83	324225792	     165806.23	江苏	        294.31亿	20061120	
002163	*ST三鑫	0.03	0.43	6.96	0.03	6.96	6.97	227071	0.14	          3.32	6.92	7.09	6.59	6.93	--  	154617088	      68306.60	深圳	         47.54亿	20070823	
002247	帝龙新材	-0.70	-6.00	10.97	-0.70	10.97	10.98	82126	0.00	          3.71	11.57	11.63	10.71	11.67	    33.70	91341472	      22131.80	浙江	         24.28亿	20080612	
002325	洪涛股份	-0.44	-3.91	10.81	-0.44	10.80	10.81	245563	-0.36	          4.94	11.25	11.25	10.53	11.25	    25.42	265821024	      49715.00	深圳	         53.74亿	20091222	
002375	亚厦股份	-0.86	-4.23	19.49	-0.86	19.48	19.49	190402	-0.05	          5.54	20.31	20.31	19.11	20.35	    17.83	374490528	      34353.73	浙江	         66.96亿	20100323	
002482	广田股份	-0.81	-4.94	15.60	-0.81	15.59	15.60	178922	-0.12	          3.95	16.43	16.44	15.44	16.41	    18.82	282777472	      45321.30	深圳	         70.70亿	20100929	
002620	瑞和股份	-0.80	-4.29	17.85	-0.80	17.85	17.87	18150	-0.16	          1.99	18.64	18.64	17.80	18.65	    35.68	32788772	       9100.98	深圳	         16.25亿	20110929	
002713	东易日盛	-2.35	-5.12	43.53	-2.35	43.50	43.53	14419	-0.02	          4.62	45.40	46.47	43.05	45.88	   161.04	63861172	       3121.01	北京	         13.59亿	20140219	
300117	嘉寓股份	-0.38	-4.91	7.36	-0.38	7.36	7.37	78337	-0.13	          2.40	7.71	7.76	7.31	7.74	    41.03	58445056	      32580.00	北京	         23.98亿	20100902	
600681	万鸿集团	0.00	0.00	7.22	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	7.22	  4666.73	0	      24655.36	湖北	         17.80亿	19931018	
601886	江河创建	-0.35	-4.09	8.21	-0.35	8.22	8.23	337421	-0.24	          3.72	8.51	8.59	8.05	8.56	    25.98	279465472	      90723.52	北京	         74.48亿	20110818	
数据来源:通达信
