代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000562	宏源证券	2.32	10.01	25.50	2.32	25.50	--  	1686852	0.00	          4.79	25.50	25.50	24.44	23.18	    60.90	4282993920	     351847.69	新疆	        897.21亿	19940202	
000686	东北证券	1.74	9.95	19.23	1.74	19.22	19.23	2488620	0.05	         14.73	17.95	19.24	17.00	17.49	    46.86	4592495616	     168948.16	吉林	        324.89亿	19970227	
000728	国元证券	2.62	10.01	28.79	2.62	28.78	28.79	1861763	0.03	          9.48	27.00	28.79	25.51	26.17	    44.99	5139173376	     196410.00	安徽	        565.46亿	19970616	
000750	国海证券	1.71	10.02	18.78	1.71	18.77	18.78	3000258	0.05	         14.87	17.48	18.78	16.42	17.07	    69.91	5381489664	     201821.09	广西	        379.02亿	19970709	
000776	广发证券	2.19	10.00	24.09	2.19	24.09	--  	3343140	0.00	          5.65	22.95	24.09	22.12	21.90	    35.17	7824683008	     591929.13	广东	       1425.96亿	19970611	
000783	长江证券	1.25	10.02	13.72	1.25	13.72	--  	5574642	0.00	         11.75	12.96	13.72	12.45	12.47	    39.78	7410066432	     474236.72	湖北	        650.65亿	19970731	
002500	山西证券	1.50	9.95	16.58	1.50	16.58	16.59	2557035	-0.06	         10.28	15.45	16.59	14.72	15.08	    84.36	4075672576	     248846.95	山西	        412.59亿	20101115	
002673	西部证券	2.72	10.01	29.88	2.72	29.88	--  	720382	0.00	         10.48	28.58	29.88	27.06	27.16	    63.90	2103933056	      68761.11	陕西	        205.46亿	20120503	
600030	中信证券	2.11	10.01	23.18	2.11	23.18	--  	12191009	0.00	         12.42	22.47	23.18	21.71	21.07	    30.09	27823228928	     981466.19	深圳	       2275.04亿	20030106	
600109	国金证券	2.00	9.93	22.14	2.00	22.14	22.15	3869659	0.22	         14.95	20.39	22.15	19.00	20.14	    78.31	8194140160	     258814.34	四川	        573.01亿	19970807	
600369	西南证券	1.05	9.96	11.59	1.05	11.59	--  	8099	0.00	          0.03	11.59	11.59	11.59	10.54	    27.55	9387193	     232255.45	重庆	        269.18亿	20010109	
600837	海通证券	1.63	10.00	17.93	1.63	17.93	--  	1432189	0.00	          1.77	17.93	17.93	17.93	16.30	    26.04	2567915264	     809213.13	上海	       1450.92亿	19940224	
600999	招商证券	2.37	10.01	26.05	2.37	26.05	--  	2651480	0.00	          5.69	24.90	26.05	23.68	23.68	    44.79	6735153664	     466109.97	深圳	       1214.22亿	20091117	
601099	太平洋	1.15	9.98	12.67	1.15	12.67	--  	5270955	0.00	         21.25	11.80	12.67	11.30	11.52	    95.98	6450186240	     248046.70	云南	        314.28亿	20071228	
601377	兴业证券	1.35	10.04	14.80	1.35	14.80	--  	6899591	0.06	         13.91	13.76	14.80	13.00	13.45	    53.26	9819043840	     495872.00	福建	        733.89亿	20101013	
601555	东吴证券	1.95	9.96	21.53	1.95	21.53	21.54	2137673	0.00	         17.50	19.94	21.54	19.12	19.58	    56.41	4408730112	     122138.00	江苏	        262.96亿	20111212	
601688	华泰证券	2.25	9.98	24.80	2.25	24.78	24.79	5520895	0.16	          9.86	23.33	24.81	22.38	22.55	    39.38	13165004800	     560000.00	江苏	       1388.80亿	20100226	
601788	光大证券	2.55	9.98	28.10	2.55	28.11	--  	2220406	-0.03	          6.50	27.00	28.11	25.42	25.55	    80.16	6048927744	     341800.00	上海	        960.46亿	20090818	
601901	方正证券	1.29	10.02	14.17	1.29	14.17	--  	6158948	0.00	         10.10	13.41	14.17	12.66	12.88	    59.02	8505327104	     610000.00	湖南	        864.37亿	20110810	
数据来源:通达信
