代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000759	中百集团	-0.36	-4.23	8.15	-0.36	8.15	8.16	77644	0.00	          1.14	8.52	8.53	8.09	8.51	    42.61	63995444	      68057.63	湖北	         55.47亿	19970519	
002251	步 步 高	-0.75	-4.66	15.35	-0.75	15.34	15.35	121535	-0.13	          2.23	16.10	16.19	15.20	16.10	    20.48	189008224	      54401.89	湖南	         83.51亿	20080619	
002264	新 华 都	-0.23	-2.77	8.08	-0.23	8.08	8.09	114694	0.00	          2.26	8.32	8.37	7.88	8.31	    68.75	92914664	      50638.42	福建	         40.92亿	20080731	
002336	人人乐	-0.39	-3.33	11.31	-0.39	11.30	11.31	47269	0.17	          1.18	11.71	11.71	11.10	11.70	--  	53929952	      40000.00	深圳	         45.24亿	20100113	
002697	红旗连锁	-0.38	-4.38	8.30	-0.38	8.30	8.31	317259	-0.12	         10.30	8.68	8.68	8.15	8.68	    35.59	265744752	      30798.89	四川	         25.56亿	20120905	
600361	华联综超	-0.29	-4.60	6.02	-0.29	6.01	6.02	181693	0.00	          2.73	6.31	6.31	5.85	6.31	    26.47	110375904	      66580.78	北京	         40.08亿	20011129	
600827	百联股份	-0.69	-4.14	15.96	-0.69	15.92	15.94	568524	-0.24	          3.69	16.80	16.92	15.68	16.65	    23.45	924389184	     154277.75	上海	        246.23亿	19940204	
601010	文峰股份	-0.39	-4.40	8.47	-0.39	8.46	8.47	125891	-0.23	          1.70	8.87	8.88	8.43	8.86	    14.45	108147288	      73920.00	江苏	         62.61亿	20110603	
601116	三江购物	-0.32	-3.38	9.15	-0.32	9.14	9.16	79821	-0.43	          1.99	9.45	9.74	9.01	9.47	    29.81	73753672	      40189.30	浙江	         36.77亿	20110302	
601933	永辉超市	-0.17	-2.04	8.16	-0.17	8.13	8.14	783622	-0.12	          2.55	8.30	8.58	8.00	8.33	    30.69	647401600	     307160.00	福建	        250.64亿	20101215	
数据来源:通达信
