代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000429	粤高速Ａ	-0.23	-4.85	4.51	-0.23	4.51	4.52	208574	0.00	          4.46	4.73	4.73	4.40	4.74	    14.13	94657672	      46788.23	广东	         21.10亿	19980220	
000548	湖南投资	-0.35	-5.08	6.54	-0.35	6.53	6.54	144386	0.00	          2.89	6.88	6.89	6.35	6.89	   130.66	95054664	      49920.10	湖南	         32.65亿	19931220	
000828	东莞控股	-0.24	-2.88	8.08	-0.24	8.08	8.09	389182	0.00	          3.74	8.35	8.70	7.50	8.32	    14.79	321596224	     103951.70	广东	         83.99亿	19970617	
000886	海南高速	-0.24	-4.76	4.80	-0.24	4.79	4.80	334016	-0.20	          3.47	5.02	5.03	4.73	5.04	    52.44	162074864	      96284.88	海南	         46.22亿	19980123	
000900	现代投资	-0.15	-2.12	6.94	-0.15	6.94	6.95	455790	-0.14	          4.51	7.10	7.26	6.78	7.09	    18.06	319614912	     101128.75	湖南	         70.18亿	19990128	
000916	华北高速	-0.20	-3.64	5.29	-0.20	5.28	5.29	169629	0.00	          1.56	5.50	5.51	5.25	5.49	    19.69	90714920	     108997.39	北京	         57.66亿	19990927	
600012	皖通高速	-0.21	-3.77	5.36	-0.21	5.36	5.37	100054	-0.18	          0.86	5.57	5.60	5.23	5.57	     9.95	54248716	     116560.00	安徽	         62.48亿	20030107	
600020	中原高速	-0.14	-3.90	3.45	-0.14	3.44	3.45	424693	0.00	          1.89	3.58	3.59	3.35	3.59	    10.92	148248992	     224737.19	河南	         77.53亿	20030808	
600033	福建高速	-0.17	-4.99	3.24	-0.17	3.24	3.25	973329	0.00	          3.55	3.40	3.40	3.13	3.41	    13.36	319031104	     274440.00	福建	         88.92亿	20010209	
600035	楚天高速	-0.24	-5.07	4.49	-0.24	4.49	4.50	330706	0.44	          2.73	4.71	4.71	4.40	4.73	    15.19	150025264	     121114.82	湖北	         54.38亿	20040310	
600106	重庆路桥	-0.14	-2.59	5.26	-0.14	5.25	5.26	644539	0.00	          7.10	5.53	5.69	5.11	5.40	    18.48	346991264	      90774.20	重庆	         47.75亿	19970618	
600269	赣粤高速	-0.20	-4.13	4.64	-0.20	4.63	4.64	865445	-0.21	          3.71	4.86	4.92	4.48	4.84	    13.30	406757472	     233540.70	江西	        108.36亿	20000518	
600350	山东高速	-0.13	-2.99	4.22	-0.13	4.21	4.22	396474	0.00	          0.82	4.34	4.39	4.11	4.35	     8.84	167576960	     481116.59	山东	        203.03亿	20020318	
600368	五洲交通	-0.32	-5.07	5.99	-0.32	5.99	6.00	359377	-0.16	          4.31	6.29	6.30	5.86	6.31	    27.09	218749712	      83380.15	广西	         49.94亿	20001221	
600377	宁沪高速	-0.12	-1.78	6.63	-0.12	6.61	6.62	238187	0.00	          0.63	6.76	6.81	6.45	6.75	    12.11	159023360	     379275.53	江苏	        251.46亿	20010116	
600548	深高速	-0.30	-4.31	6.66	-0.30	6.66	6.67	218554	0.30	          1.52	7.00	7.03	6.30	6.96	     5.43	147180560	     143327.03	深圳	         95.46亿	20011225	
601107	四川成渝	-0.20	-4.94	3.85	-0.20	3.85	3.86	361418	-0.25	          1.67	4.04	4.05	3.78	4.05	    10.37	141416576	     216274.00	四川	         83.27亿	20090727	
601188	龙江交通	-0.19	-4.90	3.69	-0.19	3.69	3.70	318216	0.27	          2.62	3.88	3.97	3.60	3.88	    11.62	120940400	     121320.00	黑龙江	         44.77亿	20100319	
601518	吉林高速	-0.18	-5.29	3.22	-0.18	3.22	3.23	300401	-0.30	          2.48	3.39	3.40	3.17	3.40	    15.90	98364136	     121320.00	吉林	         39.07亿	20100319	
数据来源:通达信
