代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000681	视觉中国	-2.00	-7.60	24.30	-2.00	24.30	24.33	77775	-0.24	          5.49	26.00	26.19	24.10	26.30	   173.77	194152224	      14171.84	江苏	         34.44亿	19970121	
000711	京蓝科技	-0.05	-0.31	16.15	-0.05	16.14	16.15	72281	0.12	          4.49	16.20	16.22	15.00	16.20	--  	113060800	      16089.83	黑龙江	         25.99亿	19970411	
000835	四川圣达	1.02	10.05	11.17	1.02	11.17	--  	15244	0.00	          0.50	11.17	11.17	11.17	10.15	   144.21	17027548	      30537.00	四川	         34.11亿	19990625	
000836	鑫茂科技	-0.27	-3.20	8.18	-0.27	8.17	8.18	99212	0.12	          3.39	8.45	8.45	7.91	8.45	--  	80960344	      29248.98	天津	         23.93亿	19970929	
000851	高鸿股份	-0.90	-6.57	12.80	-0.90	12.79	12.80	267151	-0.38	          5.52	13.60	13.65	12.51	13.70	   281.84	348100416	      48414.17	贵州	         61.97亿	19980609	
000938	紫光股份	-1.32	-4.39	28.75	-1.32	28.75	28.76	86172	0.03	          4.18	29.95	30.05	28.35	30.07	    58.39	250090304	      20607.46	北京	         59.25亿	19991104	
000948	南天信息	-0.25	-1.55	15.90	-0.25	15.88	15.90	96561	0.06	          4.18	16.00	16.21	15.51	16.15	--  	153567024	      23113.83	云南	         36.75亿	19991014	
000997	新 大 陆	-3.11	-10.01	27.95	-3.11	--  	27.95	412424	0.00	          8.12	30.30	30.30	27.95	31.06	    66.23	1174481280	      50805.00	福建	        142.00亿	20000807	
002063	远光软件	-0.45	-1.95	22.60	-0.45	22.59	22.60	157232	0.17	          4.02	23.05	23.63	22.15	23.05	    54.98	359084960	      39144.10	广东	         88.47亿	20060823	
002065	东华软件	0.20	1.03	19.58	0.20	19.58	19.59	700972	-0.10	          5.30	19.08	19.93	18.80	19.38	    40.06	1353733888	     132218.09	北京	        258.88亿	20060823	
002073	软控股份	-0.73	-5.16	13.42	-0.73	13.42	13.43	413924	-0.07	          6.69	14.15	14.19	13.22	14.15	    61.88	562763072	      61879.48	山东	         83.04亿	20061018	
002090	金智科技	-0.79	-4.65	16.20	-0.79	16.20	16.21	40029	0.00	          2.14	17.00	17.07	16.05	16.99	    46.78	65804532	      18666.93	江苏	         30.24亿	20061208	
002153	石基信息	-4.70	-5.42	82.00	-4.70	82.00	82.01	35453	-0.21	          2.17	85.99	86.00	78.03	86.70	    82.73	291249408	      16305.36	北京	        133.70亿	20070813	
002184	海得控制	--  	--  	21.82	--  	--  	--  	0	--  	          0.00	--  	--  	--  	21.82	   125.41	0	      13308.04	上海	         29.04亿	20071116	
002195	海隆软件	-1.98	-4.03	47.11	-1.98	47.11	47.12	29238	-0.12	          4.98	48.60	48.95	46.50	49.09	   327.40	138305360	       5873.95	上海	         27.67亿	20071212	
002230	科大讯飞	-1.20	-3.95	29.21	-1.20	29.20	29.21	260204	0.03	          4.50	30.62	30.70	28.78	30.41	    88.64	772973952	      57848.67	安徽	        168.98亿	20080512	
002232	启明信息	-0.43	-3.79	10.91	-0.43	10.91	10.92	88699	-0.09	          2.23	11.35	11.36	10.66	11.34	   966.28	97667264	      39797.07	吉林	         43.42亿	20080509	
002253	川大智胜	1.12	3.83	30.40	1.12	30.40	30.41	94285	0.00	          7.49	29.40	30.47	27.85	29.28	   172.51	279332640	      12585.73	四川	         38.26亿	20080623	
002268	卫 士 通	2.18	3.99	56.85	2.18	56.85	56.86	60337	-0.21	          3.51	55.42	57.00	51.65	54.67	   642.75	330061632	      17202.96	四川	         97.80亿	20080811	
002279	久其软件	-2.10	-6.00	32.90	-2.10	32.89	32.90	53377	0.36	          3.53	35.00	35.25	31.50	35.00	   475.07	177641952	      15107.20	北京	         49.70亿	20090811	
002280	新世纪	-2.28	-5.15	41.97	-2.28	41.97	41.98	33230	0.00	          5.74	44.00	44.00	41.84	44.25	--  	140679872	       5785.60	浙江	         24.28亿	20090821	
002306	中科云网	0.32	3.73	8.91	0.32	8.91	8.92	1757591	-0.33	         26.96	8.79	9.18	8.09	8.59	--  	1527848576	      65186.80	北京	         58.08亿	20091111	
002316	键桥通讯	-0.53	-4.98	10.11	-0.53	10.10	10.11	129065	0.00	          3.29	10.64	10.64	10.04	10.64	   665.19	132573168	      39267.76	深圳	         39.70亿	20091209	
002331	皖通科技	--  	--  	15.42	--  	--  	--  	0	--  	          0.00	--  	--  	--  	15.42	    67.02	0	      15432.65	安徽	         23.80亿	20100106	
002339	积成电子	-1.32	-9.32	12.84	-1.32	12.84	12.85	239806	-0.07	          8.44	14.00	14.00	12.80	14.16	    57.90	317937152	      28414.25	山东	         36.48亿	20100122	
002368	太极股份	0.48	0.93	52.14	0.48	52.09	52.14	50608	-0.78	          2.22	51.50	53.38	48.75	51.66	   124.15	259171456	      22807.86	北京	        118.92亿	20100312	
002373	千方科技	0.06	0.23	25.95	0.06	25.90	25.95	35478	-0.19	          2.63	25.60	26.01	24.20	25.89	    63.52	89416664	      13483.91	北京	         34.99亿	20100318	
002401	中海科技	-0.77	-3.89	19.00	-0.77	18.98	19.00	62826	-0.05	          2.12	19.53	19.74	18.60	19.77	    97.31	120032712	      29679.72	上海	         56.39亿	20100506	
002405	四维图新	0.93	3.94	24.51	0.93	24.50	24.51	419232	0.04	          6.49	23.68	25.64	22.00	23.58	   177.11	1003028096	      64563.94	北京	        158.25亿	20100518	
002410	广联达	1.34	5.36	26.34	1.34	26.34	26.35	381859	0.22	          8.18	25.27	26.96	24.81	25.00	    35.03	992608768	      46710.55	北京	        123.04亿	20100525	
002421	达实智能	-2.98	-9.98	26.87	-2.98	26.87	26.88	84253	0.00	          4.13	29.79	29.79	26.87	29.85	    69.70	232430176	      20414.93	深圳	         54.85亿	20100603	
002439	启明星辰	-1.06	-3.88	26.24	-1.06	26.23	26.24	129057	1.11	          4.95	27.00	27.00	24.71	27.30	--  	331773728	      26088.46	北京	         68.46亿	20100623	
002474	榕基软件	-0.62	-4.70	12.57	-0.62	12.56	12.57	500989	0.07	         12.64	13.20	13.22	12.00	13.19	   132.00	631439616	      39645.51	福建	         49.83亿	20100915	
002544	杰赛科技	2.08	10.02	22.84	2.08	22.84	--  	267304	0.00	          5.28	20.80	22.84	19.92	20.76	   206.83	588370688	      50635.66	广东	        115.65亿	20110128	
002609	捷顺科技	-1.08	-5.25	19.50	-1.08	19.49	19.50	92892	0.82	          6.77	20.58	20.58	19.24	20.58	    75.49	181781216	      13720.08	深圳	         26.75亿	20110815	
002642	荣之联	-0.93	-2.54	35.70	-0.93	35.67	35.70	69504	0.25	          8.33	36.65	37.50	35.08	36.63	   147.64	252379600	       8346.66	北京	         29.80亿	20111220	
002649	博彦科技	-2.18	-5.31	38.90	-2.18	38.88	38.90	47302	-0.05	          7.47	40.66	40.66	38.60	41.08	    46.94	186376112	       6331.18	北京	         24.63亿	20120106	
002657	中科金财	-3.85	-5.25	69.45	-3.85	69.00	69.45	27215	0.63	          4.26	73.30	73.30	66.50	73.30	   161.14	188484144	       6384.43	北京	         44.34亿	20120228	
300002	神州泰岳	-1.09	-5.92	17.32	-1.09	17.31	17.32	507215	0.00	          6.98	18.30	18.30	17.01	18.41	    47.05	888821760	      72615.95	北京	        125.77亿	20091030	
300010	立思辰	-0.70	-3.33	20.32	-0.70	20.31	20.32	88025	0.04	          5.04	21.26	21.36	20.02	21.02	   161.24	180042224	      17471.02	北京	         35.50亿	20091030	
300020	银江股份	-1.01	-3.22	30.36	-1.01	30.34	30.36	71858	0.09	          2.97	31.29	31.35	29.80	31.37	    47.50	218181904	      24173.80	浙江	         73.39亿	20091030	
300033	同花顺	0.28	0.43	65.48	0.28	65.45	65.48	155637	-0.45	         11.96	68.00	70.94	62.60	65.20	   615.02	1052305024	      13013.05	浙江	         85.21亿	20091225	
300036	超图软件	-0.81	-2.73	28.88	-0.81	28.88	28.89	49871	-0.41	          5.57	29.97	30.49	27.31	29.69	--  	143941600	       8952.66	北京	         25.86亿	20091225	
300044	赛为智能	-0.56	-3.62	14.92	-0.56	14.91	14.92	87178	-0.06	          5.92	15.36	15.44	14.60	15.48	    82.08	130773072	      14733.12	深圳	         21.98亿	20100120	
300047	天源迪科	-0.77	-5.16	14.14	-0.77	14.11	14.14	173901	0.21	          7.79	14.80	14.80	13.76	14.91	   559.96	245624880	      22333.59	深圳	         31.58亿	20100120	
300050	世纪鼎利	-1.62	-7.46	20.10	-1.62	20.10	20.11	76239	-0.14	          5.78	21.13	21.50	20.00	21.72	   126.75	156619360	      13199.57	广东	         26.53亿	20100120	
300065	海兰信	0.75	3.99	19.55	0.75	19.55	19.56	221589	-0.05	         13.78	19.00	19.88	17.12	18.80	   565.16	424283712	      16080.99	北京	         31.44亿	20100326	
300075	数字政通	-1.93	-6.18	29.29	-1.93	29.28	29.29	65637	0.20	          5.36	30.81	30.81	29.15	31.22	   121.91	195687056	      12244.23	北京	         35.86亿	20100427	
300085	银之杰	-0.47	-0.88	52.69	-0.47	52.69	52.70	32158	-0.09	          2.58	51.92	56.44	47.85	53.16	  3074.55	170901792	      12456.71	深圳	         65.63亿	20100526	
300096	易联众	-0.86	-6.41	12.55	-0.86	12.55	12.56	277629	-0.07	          9.29	13.38	13.39	12.30	13.41	   175.31	353578080	      29900.63	福建	         37.53亿	20100728	
300150	世纪瑞尔	-0.97	-4.65	19.88	-0.97	19.88	19.89	99125	-0.05	          5.54	20.55	20.71	19.45	20.85	   296.91	198505456	      17886.41	北京	         35.56亿	20101222	
300166	东方国信	-2.46	-7.22	31.60	-2.46	31.55	31.60	74867	-0.53	          4.87	33.50	33.53	30.65	34.06	   121.01	234788880	      15365.26	北京	         48.55亿	20110125	
