代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000039	中集集团	-0.50	-2.50	19.49	-0.50	19.48	19.49	561534	0.20	          4.55	20.10	20.36	18.30	19.99	    24.02	1094939648	     123366.20	深圳	        240.44亿	19940408	
000821	京山轻机	0.29	2.67	11.14	0.29	11.13	11.14	653696	0.17	         18.94	10.85	11.61	10.57	10.85	--  	716611328	      34521.94	湖北	         38.46亿	19980626	
002209	达 意 隆	-0.26	-2.49	10.18	-0.26	10.18	10.19	39649	0.29	          3.13	10.43	10.57	9.98	10.44	   136.54	40567840	      12659.62	广东	         12.89亿	20080130	
002282	博深工具	-0.57	-4.09	13.35	-0.57	13.35	13.36	78554	0.22	          6.56	13.80	13.80	12.60	13.92	    78.06	104113584	      11982.66	河北	         16.00亿	20090821	
002444	巨星科技	-0.56	-4.01	13.41	-0.56	13.41	13.42	244847	0.07	          2.80	13.80	13.90	13.00	13.97	    24.49	328385440	      87460.32	浙江	        117.28亿	20100713	
002611	东方精工	--  	--  	15.62	--  	--  	--  	0	--  	          0.00	--  	--  	--  	15.62	    70.22	0	      19844.31	广东	         31.00亿	20110830	
300126	锐奇股份	-1.06	-7.21	13.64	-1.06	13.64	13.68	96758	0.29	          6.15	14.60	14.60	13.28	14.70	    64.55	134828848	      15741.58	上海	         21.47亿	20101013	
300173	松德股份	-1.50	-5.98	23.57	-1.50	23.56	23.57	25716	-0.12	          2.27	24.87	24.88	23.00	25.07	   601.70	61341256	      11323.00	广东	         26.69亿	20110201	
300195	长荣股份	-1.58	-4.52	33.35	-1.58	33.34	33.35	40252	0.15	          7.42	34.71	34.96	33.17	34.93	    36.26	136505408	       5426.29	天津	         18.10亿	20110329	
数据来源:通达信
