代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000920	南方汇通	--  	--  	13.23	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.23	    31.50	0	      42200.00	贵州	         55.83亿	19990616	
002367	康力电梯	-0.45	-3.81	11.37	-0.45	11.36	11.37	150371	0.00	          3.29	11.78	11.78	11.10	11.82	    23.92	172316384	      45737.42	江苏	         52.00亿	20100312	
002448	中原内配	0.33	1.66	20.23	0.33	20.22	20.23	117206	-0.19	          6.53	19.85	20.33	19.30	19.90	    24.47	233005840	      17946.90	河南	         36.31亿	20100716	
002592	八菱科技	--  	--  	18.21	--  	--  	--  	0	--  	          0.00	--  	--  	--  	18.21	    49.85	0	      11895.24	广西	         21.66亿	20111111	
002689	博林特	1.09	10.05	11.94	1.09	11.94	--  	159766	0.00	          9.36	10.85	11.94	10.34	10.85	    80.19	180856272	      17068.40	辽宁	         20.38亿	20120717	
300011	鼎汉技术	--  	--  	17.25	--  	--  	--  	0	--  	          0.00	--  	--  	--  	17.25	    90.88	0	      31872.08	北京	         54.98亿	20091030	
600495	晋西车轴	-1.64	-5.88	26.25	-1.64	26.27	26.28	569138	0.19	          9.29	27.70	27.70	25.67	27.89	   231.26	1515226240	      61295.60	山西	        160.90亿	20040526	
600835	上海机电	-0.69	-3.65	18.19	-0.69	18.18	18.19	227583	0.27	          2.82	18.93	18.93	17.86	18.88	    18.81	416080352	      80650.42	上海	        146.70亿	19940224	
600894	广日股份	-0.74	-5.11	13.74	-0.74	13.74	13.80	101658	0.14	          1.31	14.44	14.55	13.50	14.48	    17.54	141789104	      77693.24	广东	        106.75亿	19960328	
600967	北方创业	0.61	4.20	15.12	0.61	15.11	15.12	672596	0.13	          8.70	14.68	15.18	13.94	14.51	    44.70	996689600	      77302.79	内蒙	        116.88亿	20040518	
601299	中国北车	0.00	0.00	6.45	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	6.45	    14.98	0	    1012608.38	北京	        653.13亿	20091229	
601313	江南嘉捷	-0.31	-2.83	10.63	-0.31	10.64	10.66	83947	-0.28	          3.13	10.92	10.92	10.29	10.94	    19.58	88921232	      26852.53	江苏	         28.54亿	20120116	
601766	中国南车	0.00	0.00	5.80	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	5.80	    15.11	0	    1041689.63	北京	        604.18亿	20080818	
603111	康尼机电	-0.91	-3.71	23.65	-0.91	23.64	23.66	63241	-0.08	          8.75	24.50	24.56	23.41	24.56	    47.62	150891088	       7230.00	江苏	         17.10亿	20140801	
数据来源:通达信
