代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000035	中国天楹	-0.38	-2.78	13.30	-0.38	13.27	13.30	86346	0.30	          4.57	13.68	13.68	12.80	13.68	    62.20	114456608	      18895.36	江苏	         25.13亿	19940408	
000063	中兴通讯	-0.19	-1.16	16.17	-0.19	16.17	16.18	1335651	0.18	          4.77	16.42	16.89	15.73	16.36	    22.76	2177673472	     280129.03	深圳	        452.97亿	19971118	
000070	特发信息	--  	--  	11.01	--  	--  	--  	0	--  	          0.00	--  	--  	--  	11.01	    49.16	0	      25856.58	深圳	         28.47亿	20000511	
000547	闽福发Ａ	--  	--  	14.49	--  	--  	--  	0	--  	          0.00	--  	--  	--  	14.49	    91.93	0	      83484.63	福建	        120.97亿	19931130	
000555	神州信息	-0.80	-1.89	41.50	-0.80	41.50	41.55	20693	0.00	          2.28	42.12	42.30	40.39	42.30	   104.74	85209384	       9062.76	深圳	         37.61亿	19940408	
000561	烽火电子	0.73	7.53	10.43	0.73	10.43	10.44	338967	0.09	          5.71	9.86	10.60	9.50	9.70	  1062.65	344802816	      59398.66	陕西	         61.95亿	19940509	
000586	汇源通信	--  	--  	10.22	--  	--  	--  	0	--  	          0.00	--  	--  	--  	10.22	   561.04	0	      19344.00	四川	         19.77亿	19951220	
000801	四川九洲	1.36	7.28	20.03	1.36	20.03	20.04	224148	0.00	          4.87	18.68	20.54	18.20	18.67	   144.49	437803648	      45988.44	四川	         92.11亿	19980506	
000892	星美联合	0.42	4.65	9.46	0.42	9.45	9.46	310597	0.10	         10.12	9.00	9.50	8.78	9.04	--  	286824512	      30693.76	重庆	         29.04亿	19990115	
002017	东信和平	-0.66	-4.32	14.63	-0.66	14.63	14.64	77534	-0.13	          2.74	15.25	15.34	14.40	15.29	   101.84	115333376	      28287.53	广东	         41.38亿	20040713	
002052	同洲电子	-0.50	-5.35	8.84	-0.50	8.83	8.84	340630	0.00	          6.57	9.36	9.38	8.80	9.34	--  	306218784	      51878.60	深圳	         45.86亿	20060627	
002089	新 海 宜	-0.03	-0.23	12.90	-0.03	12.88	12.90	192423	0.15	          4.85	12.95	13.19	12.20	12.93	    63.64	245374032	      39702.48	江苏	         51.22亿	20061130	
002115	三维通信	-0.47	-5.14	8.67	-0.47	8.67	8.68	168906	-0.34	          4.98	9.12	9.14	8.50	9.14	--  	148432976	      33887.60	浙江	         29.38亿	20070215	
002148	北纬通信	-1.41	-5.91	22.46	-1.41	22.46	22.47	166127	-0.13	          9.56	23.68	23.70	21.60	23.87	   191.14	377532416	      17374.82	北京	         39.02亿	20070810	
002151	北斗星通	2.57	6.22	43.91	2.57	43.91	43.92	204729	-0.13	         15.14	41.48	44.40	39.39	41.34	   970.54	872019200	      13525.03	北京	         59.39亿	20070813	
002161	远 望 谷	-0.38	-4.27	8.51	-0.38	8.51	8.52	375641	0.35	          5.41	8.80	8.84	8.35	8.89	   449.32	321645504	      69472.39	深圳	         59.12亿	20070821	
