代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000488	晨鸣纸业	-0.17	-3.07	5.36	-0.17	5.35	5.36	531734	0.00	          4.81	5.54	5.58	5.21	5.53	    22.81	286904064	     110503.72	山东	         59.23亿	20001120	
000815	美利纸业	-0.34	-3.61	9.07	-0.34	9.05	9.07	139060	0.11	          4.39	9.37	9.38	8.51	9.41	--  	125074984	      31678.75	宁夏	         28.73亿	19980609	
000820	金城股份	--  	--  	9.55	--  	--  	--  	0	--  	          0.00	--  	--  	--  	9.55	  2333.99	0	      22087.72	辽宁	         21.09亿	19980630	
000833	贵糖股份	-0.43	-4.22	9.77	-0.43	9.76	9.77	89131	0.10	          3.01	10.20	10.20	9.49	10.20	--  	87638144	      29606.53	广西	         28.93亿	19981111	
002012	凯恩股份	-0.36	-4.85	7.06	-0.36	7.06	7.07	216640	0.00	          4.63	7.39	7.40	6.88	7.42	    68.38	153698704	      46762.55	浙江	         33.01亿	20040705	
002067	景兴纸业	-0.18	-4.28	4.03	-0.18	4.03	4.04	812380	-0.24	          8.46	4.20	4.21	3.89	4.21	   536.14	330529952	      96052.60	浙江	         38.71亿	20060915	
002078	太阳纸业	-0.13	-3.13	4.03	-0.13	4.02	4.03	874309	-0.24	          4.42	4.15	4.22	4.01	4.16	    22.13	359247040	     197669.13	山东	         79.66亿	20061116	
002235	安妮股份	--  	--  	15.77	--  	--  	--  	0	--  	          0.00	--  	--  	--  	15.77	  1092.49	0	      12751.45	福建	         20.11亿	20080516	
002303	美盈森	-0.12	-0.67	17.80	-0.12	17.79	17.80	124302	0.39	          3.45	18.01	18.79	16.56	17.92	    52.41	219617760	      36014.83	深圳	         64.11亿	20091103	
002511	中顺洁柔	-0.37	-3.40	10.50	-0.37	10.50	10.52	76885	0.09	          1.90	10.87	10.94	10.40	10.87	    62.68	81330128	      40451.92	广东	         42.47亿	20101125	
002521	齐峰新材	-0.55	-4.58	11.45	-0.55	11.45	11.46	142300	-0.08	          4.63	11.95	11.98	11.30	12.00	    18.18	164772096	      30760.26	山东	         35.22亿	20101210	
002565	上海绿新	-0.34	-3.89	8.40	-0.34	8.40	8.41	213850	0.00	          3.13	8.75	8.78	8.21	8.74	    29.98	181886608	      68352.00	上海	         57.42亿	20110318	
600069	银鸽投资	0.01	0.18	5.58	0.01	5.57	5.58	872685	-0.17	         10.57	5.97	5.97	5.32	5.57	--  	496788416	      82537.40	河南	         46.06亿	19970430	
600103	青山纸业	0.00	0.00	3.66	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	3.66	   601.14	0	     106184.15	福建	         38.86亿	19970703	
600163	福建南纸	0.51	10.08	5.57	0.51	5.57	--  	6926	0.00	          0.10	5.57	5.57	5.57	5.06	--  	3857615	      72141.99	福建	         40.18亿	19980602	
600235	民丰特纸	-0.36	-4.81	7.13	-0.36	7.11	7.14	108955	0.28	          3.10	7.48	7.48	6.99	7.49	--  	78445040	      35130.00	浙江	         25.05亿	20000615	
600308	华泰股份	-0.21	-4.70	4.26	-0.21	4.26	4.27	508719	-0.46	          4.36	4.47	4.56	4.06	4.47	    55.57	220705808	     116756.14	山东	         49.74亿	20000928	
600356	恒丰纸业	-0.28	-3.37	8.03	-0.28	8.03	8.04	62590	0.00	          2.48	8.30	8.35	7.96	8.31	    32.82	50838840	      25233.92	黑龙江	         20.26亿	20010419	
600433	冠豪高新	-0.63	-5.11	11.70	-0.63	11.67	11.72	259451	-0.08	          2.18	12.23	12.28	11.49	12.33	   114.36	307548832	     119028.00	广东	        139.26亿	20030619	
600462	石岘纸业	-0.30	-4.46	6.42	-0.30	6.42	6.43	80087	-0.31	          1.50	6.71	6.71	6.37	6.72	   834.95	52108308	      53378.00	吉林	         34.27亿	20030903	
600567	山鹰纸业	-0.13	-4.55	2.73	-0.13	2.72	2.73	1411876	-0.36	          6.49	2.87	2.89	2.66	2.86	    44.59	392211008	     217622.31	安徽	         59.41亿	20011218	
600793	ST宜纸	-0.55	-4.15	12.69	-0.55	12.70	12.75	15465	-0.07	          1.47	13.25	13.30	12.59	13.24	--  	19892596	      10530.00	四川	         13.36亿	19970220	
600963	岳阳林纸	-0.31	-5.70	5.13	-0.31	5.13	5.14	374701	-0.19	          4.44	5.45	5.47	5.00	5.44	--  	195017376	      84315.90	湖南	         43.25亿	20040525	
600966	博汇纸业	-0.11	-1.67	6.49	-0.11	6.44	6.50	215251	0.46	          3.54	6.61	6.67	6.35	6.60	    51.91	139681232	      60799.55	山东	         39.46亿	20040608	
数据来源:通达信
