代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000007	零七股份	-0.68	-4.31	15.10	-0.68	15.10	15.11	56722	0.00	          2.76	15.78	15.81	14.90	15.78	--  	85968088	      20581.31	深圳	         31.08亿	19920413	
000033	*ST新都	--  	--  	4.99	--  	--  	--  	0	--  	          0.00	--  	--  	--  	4.99	--  	0	      32940.19	深圳	         16.44亿	19940103	
000428	华天酒店	-0.25	-3.98	6.03	-0.25	6.03	6.04	218848	0.00	          3.04	6.28	6.28	5.70	6.28	--  	132583488	      71876.24	湖南	         43.34亿	19960808	
000524	东方宾馆	-0.26	-2.16	11.75	-0.26	11.75	11.76	54069	0.68	          2.01	12.08	12.13	11.40	12.01	   101.19	62722452	      26967.16	广东	         31.69亿	19931118	
000721	西安饮食	-0.32	-5.61	5.38	-0.32	5.38	5.39	303504	0.00	          6.97	5.68	5.68	5.29	5.70	   324.41	165576608	      43562.41	陕西	         23.44亿	19970430	
002186	全 聚 德	-0.75	-3.65	19.82	-0.75	19.82	19.84	56023	-0.10	          2.00	20.61	20.68	19.71	20.57	    38.01	112701208	      28009.88	北京	         55.52亿	20071120	
600258	首旅酒店	0.00	0.00	15.24	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	15.24	    29.31	0	      23140.00	北京	         35.27亿	20000601	
600640	号百控股	-1.25	-6.59	17.73	-1.25	17.71	17.72	123479	0.05	          5.98	18.95	18.95	17.34	18.98	    92.24	224003136	      20640.63	上海	         36.60亿	19930407	
600754	锦江股份	0.00	0.00	25.11	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	25.11	    33.50	0	      44724.07	上海	        112.30亿	19961011	
601007	金陵饭店	-0.49	-4.15	11.32	-0.49	11.32	11.33	96453	-0.08	          3.22	11.73	11.73	10.84	11.81	   129.51	108673008	      30000.00	江苏	         33.96亿	20070406	
数据来源:通达信
