代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000717	韶钢松山	-0.16	-5.25	2.89	-0.16	2.88	2.89	642255	0.00	          5.69	3.05	3.05	2.80	3.05	--  	187246032	     112803.64	广东	         32.60亿	19970508	
000761	本钢板材	-0.29	-5.22	5.27	-0.29	5.26	5.27	139590	-0.37	          0.51	5.52	5.57	5.13	5.56	    61.42	74600376	     273600.00	辽宁	        144.19亿	19980115	
000778	新兴铸管	-0.21	-4.04	4.99	-0.21	4.99	5.00	1576734	0.00	          4.33	5.16	5.29	4.86	5.20	    20.33	797389696	     364209.41	河北	        181.74亿	19970606	
000890	法 尔 胜	-0.36	-5.09	6.71	-0.36	6.71	6.72	189259	-0.14	          4.99	7.07	7.07	6.53	7.07	   465.76	127720376	      37953.87	江苏	         25.47亿	19990119	
000969	安泰科技	-0.33	-3.23	9.89	-0.33	9.89	9.90	246323	-0.10	          2.86	10.22	10.22	9.79	10.22	  1073.54	245289712	      86097.15	北京	         85.15亿	20000529	
002132	恒星科技	-0.20	-2.77	7.02	-0.20	7.02	7.03	125364	1.00	          3.61	7.22	7.24	6.71	7.22	    78.23	87207432	      34733.30	河南	         24.38亿	20070427	
002352	鼎泰新材	-1.41	-5.05	26.53	-1.41	26.53	26.54	15612	0.07	          4.07	27.83	27.85	26.50	27.94	    58.85	42128576	       3839.22	安徽	         10.19亿	20100205	
002359	齐星铁塔	--  	--  	6.38	--  	--  	--  	0	--  	          0.00	--  	--  	--  	6.38	--  	0	      34848.64	山东	         22.23亿	20100210	
002443	金洲管道	-0.22	-3.12	6.83	-0.22	6.83	6.84	225288	0.00	          4.60	7.11	7.14	6.67	7.05	    46.80	154855264	      48927.76	浙江	         33.42亿	20100706	
002487	大金重工	0.02	0.19	10.82	0.02	10.81	10.82	223839	-0.09	          6.22	10.70	11.20	10.10	10.80	    85.41	239543680	      36000.00	辽宁	         38.95亿	20101015	
002524	光正集团	-0.42	-5.58	7.11	-0.42	7.11	7.12	274977	-0.42	          5.60	7.48	7.52	7.07	7.53	--  	198924784	      49120.46	新疆	         34.92亿	20101217	
002541	鸿路钢构	-0.67	-4.40	14.56	-0.67	14.56	14.57	34360	-0.13	          2.23	15.27	15.27	14.33	15.23	    22.44	50530208	      15415.00	安徽	         22.44亿	20110118	
002545	东方铁塔	-0.62	-3.66	16.32	-0.62	16.31	16.32	28468	0.00	          2.50	16.94	16.95	16.20	16.94	    71.15	46842320	      11400.00	山东	         18.60亿	20110211	
300345	红宇新材	-0.62	-2.62	23.00	-0.62	23.00	23.10	33460	1.05	          5.41	23.48	23.51	21.90	23.62	   938.72	75377712	       6180.70	湖南	         14.22亿	20120801	
600165	新日恒力	-0.40	-3.86	9.97	-0.40	9.95	9.97	78686	-0.59	          4.06	10.38	10.38	9.60	10.37	--  	78262488	      19395.34	宁夏	         19.34亿	19980529	
600477	杭萧钢构	-0.28	-4.38	6.11	-0.28	6.10	6.11	157401	0.00	          3.40	6.40	6.41	5.95	6.39	    50.07	97267304	      46345.82	浙江	         28.32亿	20031110	
600496	精工钢构	-0.45	-4.82	8.88	-0.45	8.89	8.90	151390	0.90	          2.58	9.32	9.32	8.78	9.33	    21.50	136261888	      58656.60	安徽	         52.09亿	20020605	
600558	大西洋	-0.53	-3.46	14.80	-0.53	14.79	14.80	86177	0.06	          3.20	15.35	15.51	14.48	15.33	   131.54	128797120	      26943.51	四川	         39.88亿	20010227	
600782	新钢股份	-0.33	-6.48	4.76	-0.33	4.76	4.77	188655	-0.41	          1.35	5.07	5.11	4.71	5.09	    36.69	92051448	     139344.81	江西	         66.33亿	19961225	
600992	贵绳股份	-0.24	-2.20	10.69	-0.24	10.67	10.69	46294	0.09	          2.82	10.87	10.87	10.45	10.93	   132.31	49337968	      16437.00	贵州	         17.57亿	20040514	
601028	玉龙股份	0.33	1.50	22.29	0.33	22.29	22.31	286541	0.08	         15.33	21.60	22.53	20.80	21.96	    69.31	625545856	      18687.50	江苏	         41.65亿	20111107	
数据来源:通达信
