代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000060	中金岭南	-0.21	-2.08	9.91	-0.21	9.91	9.92	1596956	-0.10	          7.75	10.28	10.35	9.24	10.12	    37.39	1574994688	     206104.00	深圳	        204.25亿	19970123	
000603	盛达矿业	-0.78	-4.86	15.27	-0.78	15.13	15.27	140857	1.12	          3.06	16.06	16.15	14.45	16.05	    37.01	215337872	      45994.69	北京	         70.23亿	19960823	
000688	建新矿业	-0.50	-5.39	8.77	-0.50	8.77	8.78	305960	0.00	         10.33	9.46	9.55	8.34	9.27	    43.56	272072192	      29609.44	重庆	         25.97亿	19970120	
000751	锌业股份	-0.35	-4.97	6.69	-0.35	6.69	6.70	1100173	0.00	          7.80	7.08	7.13	6.39	7.04	   121.83	750135808	     140984.81	辽宁	         94.32亿	19970626	
000758	中色股份	-0.66	-4.56	13.80	-0.66	13.79	13.80	673275	-0.21	          7.47	14.33	14.35	13.40	14.46	   144.74	935342720	      90156.15	北京	        124.42亿	19970416	
000975	银泰资源	0.86	5.83	15.60	0.86	15.60	15.61	415989	-0.31	          6.75	15.21	16.21	14.55	14.74	    71.58	647103552	      61652.01	广东	         96.18亿	20000608	
002114	罗平锌电	-1.13	-5.97	17.80	-1.13	17.80	17.81	130458	-0.05	         15.13	18.89	18.90	17.04	18.93	   127.86	236535664	       8625.33	云南	         15.35亿	20070215	
600331	宏达股份	-0.37	-5.41	6.47	-0.37	6.46	6.47	502417	-0.15	          4.87	6.84	6.84	6.29	6.84	--  	330318272	     103200.00	四川	         66.77亿	20011220	
600338	西藏珠峰	-0.57	-3.85	14.24	-0.57	14.24	14.25	45683	-0.28	          2.89	14.80	14.80	14.10	14.81	--  	65693256	      15833.33	西藏	         22.55亿	20001227	
600497	驰宏锌锗	-0.73	-5.64	12.21	-0.73	12.21	12.22	745417	-0.08	          4.47	12.95	12.96	11.70	12.94	    99.87	921268160	     166756.09	云南	        203.61亿	20040420	
600531	豫光金铅	-0.96	-5.81	15.56	-0.96	15.57	15.58	277159	-0.57	          9.39	16.06	16.19	15.10	16.52	   165.25	436338816	      29525.08	河南	         45.94亿	20020730	
600961	株冶集团	-0.58	-5.59	9.79	-0.58	9.78	9.79	94020	-0.40	          1.78	10.38	10.39	9.60	10.37	--  	93472728	      52745.78	湖南	         51.64亿	20040830	
数据来源:通达信
