代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000630	铜陵有色	0.77	5.34	15.18	0.77	15.17	15.18	1474914	0.00	         10.38	14.41	15.50	13.76	14.41	    72.14	2149567232	     142150.06	安徽	        215.78亿	19961120	
000878	云南铜业	0.00	0.00	14.68	0.00	14.68	14.69	828532	-0.13	          5.85	14.30	15.35	13.33	14.68	   167.99	1189833984	     141639.20	云南	        207.93亿	19980602	
002171	精诚铜业	--  	--  	13.07	--  	--  	--  	0	--  	          0.00	--  	--  	--  	13.07	   106.96	0	      32318.85	安徽	         42.24亿	20070921	
002203	海亮股份	-0.77	-7.66	9.28	-0.77	9.27	9.28	603428	0.00	          4.13	9.95	9.95	9.06	10.05	    30.62	571920000	     146151.59	浙江	        135.63亿	20080116	
002295	精艺股份	-0.53	-5.14	9.78	-0.53	9.78	9.79	54705	0.20	          3.02	10.32	10.32	9.60	10.31	--  	54346316	      18136.33	广东	         17.74亿	20090929	
600139	西部资源	0.00	0.00	15.09	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	15.09	  5321.03	0	      62971.48	四川	         95.02亿	19980225	
600255	鑫科材料	-0.31	-5.39	5.44	-0.31	5.44	5.45	1544797	0.18	          9.88	5.76	5.76	5.22	5.75	   198.15	848778752	     156375.00	安徽	         85.07亿	20001122	
600362	江西铜业	-0.53	-2.90	17.73	-0.53	17.73	17.74	1315874	-0.16	          6.34	18.00	18.50	16.77	18.26	    19.81	2336087552	     207524.73	江西	        367.94亿	20020111	
601137	博威合金	-1.63	-7.30	20.69	-1.63	20.68	20.69	54750	0.00	          2.55	22.28	22.28	20.42	22.32	    65.75	115595392	      21500.00	浙江	         44.48亿	20110127	
601168	西部矿业	-0.44	-4.92	8.50	-0.44	8.51	8.52	1595188	0.00	          6.69	8.87	8.88	8.10	8.94	    59.50	1364653184	     238300.00	青海	        202.55亿	20070712	
数据来源:通达信
