代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000612	焦作万方	-0.18	-1.81	9.78	-0.18	9.77	9.78	466810	0.00	          4.87	9.99	10.26	9.45	9.96	    54.00	462144256	      95776.53	河南	         93.67亿	19960926	
000807	云铝股份	-0.27	-4.66	5.52	-0.27	5.51	5.52	429400	0.00	          2.79	5.80	5.85	5.35	5.79	--  	239626800	     153907.34	云南	         84.96亿	19980408	
002082	栋梁新材	-0.68	-6.15	10.38	-0.68	10.37	10.38	94844	0.09	          5.10	11.06	11.06	10.12	11.06	    24.09	100279960	      18605.09	浙江	         19.31亿	20061120	
002160	*ST常铝	-0.24	-3.69	6.27	-0.24	6.27	6.28	117933	-0.15	          3.63	6.52	6.55	6.18	6.51	   106.46	74860592	      32469.63	江苏	         20.36亿	20070821	
002333	罗普斯金	-0.39	-2.72	13.97	-0.39	13.97	13.98	113355	1.82	          4.67	15.50	15.51	13.35	14.36	    57.42	162195280	      24248.49	江苏	         33.88亿	20100112	
002379	鲁丰环保	-0.24	-5.17	4.40	-0.24	4.39	4.40	489141	0.00	          7.32	4.64	4.64	4.28	4.64	--  	217811600	      66863.25	山东	         29.42亿	20100331	
002501	利源精制	0.78	3.82	21.18	0.78	21.17	21.18	467161	-0.04	         13.92	20.46	21.90	19.41	20.40	    25.45	962424064	      33565.53	吉林	         71.09亿	20101117	
002540	亚太科技	-0.47	-2.36	19.48	-0.47	19.45	19.48	114298	0.82	          4.54	19.92	20.00	18.53	19.95	    34.97	221930496	      25167.34	江苏	         49.03亿	20110118	
002578	闽发铝业	0.10	0.56	17.95	0.10	17.94	17.95	60528	0.00	          6.80	17.85	18.20	17.27	17.85	    81.55	107820672	       8903.00	福建	         15.98亿	20110428	
300328	宜安科技	-2.62	-6.64	36.86	-2.62	36.86	36.89	19632	-0.37	          7.01	38.88	39.40	36.22	39.48	   101.30	73732672	       2800.00	广东	         10.32亿	20120619	
300337	银邦股份	-0.54	-3.47	15.04	-0.54	15.03	15.04	82489	-0.13	          5.53	15.53	15.55	14.51	15.58	    80.74	123968520	      14913.79	江苏	         22.43亿	20120718	
600219	南山铝业	-0.45	-5.11	8.36	-0.45	8.36	8.37	930616	0.11	          4.81	8.81	8.82	8.00	8.81	    21.39	786616640	     193417.38	山东	        161.70亿	19991223	
600595	中孚实业	-0.42	-6.37	6.17	-0.42	6.16	6.17	438326	-0.16	          2.89	6.58	6.58	5.93	6.59	    49.25	275251200	     151487.38	河南	         93.47亿	20020626	
600673	东阳光科	0.15	0.90	16.75	0.15	16.74	16.78	227005	-0.47	          2.76	16.60	17.05	16.26	16.60	   106.46	378585088	      82261.22	广东	        137.79亿	19930917	
600768	宁波富邦	-0.75	-6.07	11.60	-0.75	11.59	11.60	36494	0.00	          2.73	12.36	12.36	11.20	12.35	--  	43076016	      13374.71	浙江	         15.51亿	19961111	
600888	新疆众和	-0.48	-5.76	7.86	-0.48	7.86	7.87	307007	-0.50	          4.79	8.28	8.28	7.68	8.34	--  	244113744	      64122.58	新疆	         50.40亿	19960215	
601388	怡球资源	-0.92	-8.17	10.34	-0.92	10.33	10.34	301473	0.19	         13.55	11.17	11.20	10.13	11.26	   150.23	318885504	      22254.05	江苏	         23.01亿	20120423	
601600	中国铝业	-0.19	-3.85	4.75	-0.19	4.75	4.76	2665874	-0.41	          2.78	4.96	5.08	4.53	4.94	--  	1288193536	     958052.19	北京	        455.07亿	20070430	
601677	明泰铝业	-0.89	-6.36	13.10	-0.89	13.11	13.12	94246	-0.60	          2.35	13.96	13.96	12.72	13.99	    38.82	125567616	      40100.00	河南	         52.53亿	20110919	
数据来源:通达信
