代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000001	平安银行	0.57	4.08	14.53	0.57	14.52	14.53	4413697	-0.06	          4.49	14.05	15.23	13.52	13.96	     7.93	6338168320	     983671.19	深圳	       1429.27亿	19910403	
002142	宁波银行	0.28	1.96	14.56	0.28	14.55	14.56	1528899	0.06	          5.32	14.29	15.10	13.80	14.28	     7.74	2207988480	     287241.59	浙江	        418.22亿	20070719	
600000	浦发银行	0.26	1.96	13.53	0.26	13.52	13.53	8596476	0.07	          5.76	13.42	14.00	12.90	13.27	     5.44	11553890304	    1492277.75	上海	       2019.05亿	19991110	
600015	华夏银行	0.20	1.73	11.78	0.20	11.78	11.79	3515679	0.17	          5.42	11.70	12.30	11.18	11.58	     5.97	4125640960	     648768.69	北京	        764.25亿	20030912	
600016	民生银行	0.10	1.11	9.09	0.10	9.09	9.10	16468273	0.11	          6.08	9.05	9.50	8.60	8.99	     6.31	15000566784	    2710607.50	北京	       2463.94亿	20001219	
600036	招商银行	0.31	2.27	13.95	0.31	13.97	13.98	6397786	0.50	          3.10	13.90	14.50	13.30	13.64	     5.76	8897229824	    2062894.50	深圳	       2877.74亿	20020409	
601009	南京银行	0.10	0.74	13.64	0.10	13.65	13.66	2104268	0.22	          7.09	13.60	14.39	13.08	13.54	     7.30	2875142656	     296893.31	江苏	        404.96亿	20070719	
601166	兴业银行	0.31	2.33	13.60	0.31	13.59	13.60	9220804	0.22	          5.70	13.43	14.05	12.87	13.29	     5.07	12404157440	    1617961.63	福建	       2200.43亿	20070205	
601169	北京银行	0.17	1.74	9.92	0.17	9.93	9.94	2964622	-0.40	          3.31	9.79	10.34	9.49	9.75	     6.24	2930012928	     896768.94	北京	        889.59亿	20070919	
601288	农业银行	0.26	8.52	3.31	0.26	3.32	3.33	18027286	0.60	          0.63	3.08	3.33	3.01	3.05	     5.29	5726925824	   28416352.00	北京	       9405.81亿	20100715	
601328	交通银行	0.06	0.97	6.25	0.06	6.25	6.26	9386657	0.16	          2.87	6.25	6.59	6.00	6.19	     6.76	5867396096	    3270905.25	上海	       2044.32亿	20070515	
601398	工商银行	0.32	7.49	4.59	0.32	4.59	4.60	10246444	0.00	          0.39	4.30	4.68	4.22	4.27	     5.49	4580277248	   26471778.00	北京	      12150.55亿	20061027	
601818	光大银行	-0.01	-0.24	4.23	-0.01	4.22	4.23	15006474	-0.70	          3.77	4.26	4.52	4.08	4.24	     6.35	6420197376	    3981036.00	北京	       1683.98亿	20100818	
601939	建设银行	0.52	10.04	5.70	0.52	5.70	--  	9762901	0.00	         10.18	5.22	5.70	5.18	5.18	     5.62	5448354304	     959365.75	北京	        546.84亿	20070925	
601988	中国银行	0.16	4.53	3.69	0.16	3.68	3.69	26429000	0.27	          1.35	3.53	3.81	3.42	3.53	     6.74	9513892864	   19591296.00	北京	       7229.19亿	20060705	
601998	中信银行	0.12	1.77	6.89	0.12	6.90	6.91	3974489	0.14	          1.25	6.79	7.27	6.51	6.77	     7.49	2741329664	    3190516.50	北京	       2198.27亿	20070427	
数据来源:通达信
