代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000529	广弘控股	-0.21	-2.02	10.19	-0.21	10.18	10.19	122420	0.09	          2.16	10.48	10.85	9.88	10.40	    70.21	126686696	      56719.78	广东	         57.80亿	19931118	
000639	西王食品	-0.37	-2.06	17.63	-0.37	17.63	17.64	35643	-0.05	          1.89	18.01	18.07	17.50	18.00	    26.75	63301796	      18832.27	山东	         33.20亿	19961126	
000716	黑芝麻	-0.75	-4.83	14.77	-0.75	14.76	14.77	70272	0.00	          4.10	15.50	15.57	14.49	15.52	    67.69	104917720	      17126.35	广西	         25.30亿	19970418	
000796	易食股份	--  	--  	7.23	--  	--  	--  	0	--  	          0.00	--  	--  	--  	7.23	    95.94	0	      24652.30	陕西	         17.82亿	19970703	
000893	东凌粮油	-0.69	-5.18	12.64	-0.69	12.63	12.64	190727	0.00	          4.92	13.33	13.33	12.36	13.33	--  	244003824	      38782.60	广东	         49.02亿	19981224	
000895	双汇发展	-0.96	-3.08	30.16	-0.96	30.15	30.16	429483	0.00	          3.54	31.20	31.39	29.60	31.12	    15.74	1306822016	     121172.90	河南	        365.46亿	19981210	
000911	南宁糖业	-0.53	-5.12	9.83	-0.53	9.82	9.83	93729	-0.10	          3.27	10.32	10.33	9.57	10.36	--  	93178480	      28664.00	广西	         28.18亿	19990527	
000930	中粮生化	-0.26	-3.62	6.92	-0.26	6.92	6.93	616980	-0.14	          6.40	7.18	7.20	6.71	7.18	   154.21	428997504	      96441.10	安徽	         66.74亿	19990712	
000972	新中基	-0.40	-6.56	5.70	-0.40	5.70	5.71	363347	0.00	          4.71	6.09	6.09	5.60	6.10	--  	210920960	      77128.35	新疆	         43.96亿	20000926	
002143	高金食品	0.59	3.33	18.30	0.59	18.30	18.31	50317	-0.05	          5.59	17.70	18.50	17.30	17.71	--  	90049544	       8997.95	四川	         16.47亿	20070720	
002216	三全食品	-0.85	-3.82	21.38	-0.85	21.37	21.38	55052	0.00	          1.98	22.24	22.24	21.15	22.23	    90.92	118523392	      27855.56	河南	         59.56亿	20080220	
002220	天宝股份	-0.58	-6.18	8.81	-0.58	8.81	8.82	155951	0.11	          4.00	9.39	9.40	8.70	9.39	    23.78	139033376	      38948.12	辽宁	         34.31亿	20080228	
002286	保龄宝	-0.35	-3.66	9.20	-0.35	9.20	9.21	103892	0.00	          3.91	9.53	9.53	8.98	9.55	    82.12	96154528	      26578.28	山东	         24.45亿	20090828	
002330	得利斯	-0.07	-0.88	7.92	-0.07	7.92	7.93	113187	0.25	          3.04	7.95	8.13	7.50	7.99	    74.05	89031464	      37228.00	山东	         29.48亿	20100106	
002481	双塔食品	-0.39	-2.44	15.61	-0.39	15.60	15.61	52829	-0.63	          1.41	16.00	16.13	15.30	16.00	    45.25	82646920	      37455.17	山东	         58.47亿	20100921	
002495	佳隆股份	-0.31	-1.72	17.75	-0.31	17.75	17.76	717708	0.05	         48.11	18.62	18.83	16.78	18.06	   109.32	1263409024	      14917.50	广东	         26.48亿	20101102	
002507	涪陵榨菜	-0.82	-2.72	29.32	-0.82	29.30	29.32	16595	-0.17	          1.44	30.03	30.16	28.08	30.14	    32.77	48499268	      11562.95	重庆	         33.90亿	20101123	
002515	金字火腿	-1.00	-3.84	25.06	-1.00	25.06	25.19	19980	0.07	          2.24	25.76	26.09	24.91	26.06	   114.65	50640116	       8935.79	浙江	         22.39亿	20101203	
002557	洽洽食品	-1.01	-4.76	20.19	-1.01	20.19	20.20	65545	-0.14	          1.94	21.21	21.23	20.12	21.20	    24.78	134175896	      33800.00	安徽	         68.24亿	20110302	
002568	百润股份	1.31	3.23	41.86	1.31	41.86	41.87	17972	0.14	          1.65	40.01	41.88	39.20	40.55	   107.17	73153288	      10861.00	上海	         45.46亿	20110325	
002582	好想你	-1.12	-5.25	20.22	-1.12	20.21	20.22	54279	0.04	          5.93	21.33	21.33	20.00	21.34	    51.18	110804384	       9155.75	河南	         18.51亿	20110520	
002604	龙力生物	-0.65	-4.33	14.36	-0.65	14.35	14.36	120131	-0.20	          4.65	14.92	14.94	14.16	15.01	    38.85	173703728	      25815.73	山东	         37.07亿	20110728	
002626	金达威	-0.96	-3.52	26.32	-0.96	26.32	26.33	27929	-0.07	          0.97	27.17	27.48	26.20	27.28	    38.63	74237120	      28674.58	福建	         75.47亿	20111028	
002650	加加食品	0.26	1.98	13.38	0.26	13.38	13.39	156499	-0.22	          6.97	13.13	14.00	12.80	13.12	    40.71	207678624	      22439.23	湖南	         30.02亿	20120106	
002661	克明面业	-1.72	-4.14	39.80	-1.72	39.80	39.98	14295	0.12	          6.69	41.52	41.53	39.39	41.52	    40.05	57356804	       2135.75	湖南	          8.50亿	20120316	
002695	煌上煌	-1.50	-4.29	33.46	-1.50	33.44	33.46	30548	0.20	          7.11	34.94	34.94	32.80	34.96	    37.44	102618432	       4293.64	江西	         14.37亿	20120905	
002702	海欣食品	-0.01	-0.06	17.99	-0.01	17.91	17.99	23932	0.11	          3.92	18.00	18.00	17.10	18.00	   301.24	41913864	       6100.00	福建	         10.97亿	20121011	
002726	龙大肉食	-1.41	-5.57	23.91	-1.41	23.90	23.91	73198	-0.08	         13.41	25.21	25.24	23.72	25.32	    49.30	177519680	       5459.00	山东	         13.05亿	20140626	
300138	晨光生物	-0.67	-5.47	11.57	-0.67	11.57	11.58	49084	-0.08	          3.89	12.14	12.27	11.50	12.24	   121.70	57759316	      12608.41	河北	         14.59亿	20101105	
300146	汤臣倍健	-1.70	-5.64	28.43	-1.70	28.42	28.43	197953	-0.14	          6.02	30.10	30.10	27.74	30.13	    29.31	570697792	      32890.05	广东	         93.51亿	20101215	
300149	量子高科	-0.51	-5.83	8.24	-0.51	8.24	8.25	81429	0.00	          4.60	8.75	8.75	8.10	8.75	    55.67	68492096	      17693.21	广东	         14.58亿	20101222	
300175	朗源股份	-0.31	-4.19	7.08	-0.31	7.08	7.09	203374	-0.14	          4.38	7.40	7.40	7.04	7.39	    25.07	145468480	      46479.35	山东	         32.91亿	20110215	
300401	花园生物	-3.70	-8.10	42.00	-3.70	42.00	42.01	44611	-0.21	         19.65	44.70	44.80	41.60	45.70	   116.53	191956784	       2270.00	浙江	          9.53亿	20141009	
600073	上海梅林	-0.43	-4.56	8.99	-0.43	8.98	8.99	374351	0.22	          4.83	9.41	9.41	8.88	9.42	    49.41	340730880	      77580.00	上海	         69.74亿	19970704	
600095	哈高科	-0.32	-4.49	6.80	-0.32	6.80	6.81	143840	0.00	          3.98	7.12	7.12	6.61	7.12	   233.06	98655104	      36126.35	黑龙江	         24.57亿	19970708	
600186	莲花味精	-0.22	-5.07	4.12	-0.22	4.12	4.13	654753	0.00	          6.17	4.30	4.33	4.01	4.34	--  	271722080	     106202.42	河南	         43.76亿	19980825	
600191	华资实业	0.20	2.10	9.74	0.20	9.74	9.75	317398	-0.30	          6.55	9.64	10.11	9.10	9.54	    96.61	308811776	      48493.19	内蒙	         47.23亿	19981210	
600298	安琪酵母	-1.00	-4.97	19.13	-1.00	19.13	19.14	103852	-0.10	          3.25	20.09	20.09	18.80	20.13	    38.30	202006096	      31988.36	湖北	         61.19亿	20000818	
600305	恒顺醋业	-0.52	-3.02	16.69	-0.52	16.69	16.70	51082	-0.05	          2.01	17.21	17.35	16.50	17.21	    68.44	86182552	      25430.00	江苏	         42.44亿	20010206	
600695	大江股份	-0.60	-7.12	7.83	-0.60	7.82	7.84	221970	-0.38	          6.74	8.39	8.39	7.59	8.43	--  	176411952	      32957.28	上海	         25.81亿	19931122	
600737	中粮屯河	-0.29	-3.95	7.05	-0.29	7.05	7.06	882353	0.28	          6.67	7.34	7.45	6.90	7.34	   267.99	630221248	     132266.34	新疆	         93.25亿	19960731	
600866	星湖科技	-0.34	-4.25	7.66	-0.34	7.65	7.66	214576	0.13	          3.90	7.90	7.98	7.47	8.00	--  	164734512	      55039.35	广东	         42.16亿	19940818	
600872	中炬高新	-0.54	-4.91	10.46	-0.54	10.46	10.47	257230	-0.28	          3.23	11.01	11.05	10.32	11.00	    29.94	274382944	      79663.71	广东	         83.33亿	19950124	
