代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
000048	康达尔	-0.38	-3.51	10.45	-0.38	10.42	10.45	122350	0.28	          3.22	10.81	10.83	10.00	10.83	   257.92	127735720	      37985.87	深圳	         39.70亿	19941101	
000702	正虹科技	-0.37	-3.76	9.48	-0.37	9.44	9.48	84856	0.42	          3.18	9.85	9.88	9.10	9.85	   159.59	80821080	      26663.19	湖南	         25.28亿	19970318	
000876	新 希 望	-0.41	-2.65	15.08	-0.41	15.08	15.09	726009	-0.06	          4.20	15.57	16.25	14.80	15.49	    14.99	1121317632	     172830.80	四川	        260.63亿	19980311	
002100	天康生物	-0.44	-3.31	12.84	-0.44	12.84	12.85	90800	0.00	          2.37	13.32	13.35	12.78	13.28	    29.23	117595664	      38318.53	新疆	         49.20亿	20061226	
002124	天邦股份	-0.50	-4.20	11.40	-0.50	11.38	11.40	65349	-0.43	          4.52	11.88	11.88	11.22	11.90	    96.58	74817528	      14460.16	浙江	         16.48亿	20070403	
002157	正邦科技	--  	--  	10.03	--  	--  	--  	0	--  	          0.00	--  	--  	--  	10.03	--  	0	      38622.83	江西	         38.74亿	20070817	
002311	海大集团	0.74	6.76	11.68	0.74	11.67	11.68	562852	-0.25	          5.26	12.00	12.00	11.25	10.94	    17.37	653660288	     106940.92	广东	        124.91亿	20091127	
002385	大北农	-0.05	-0.31	16.11	-0.05	16.10	16.11	403966	0.00	          4.29	16.28	16.30	15.36	16.16	    45.17	637411008	      94184.88	北京	        151.73亿	20100409	
002548	金新农	-0.43	-4.06	10.15	-0.43	10.15	10.16	138349	0.09	          4.46	10.58	10.60	9.91	10.58	    48.77	141694544	      31020.00	深圳	         31.49亿	20110218	
002567	唐人神	0.18	1.80	10.20	0.18	10.20	10.21	105727	0.09	          2.52	10.03	10.20	9.84	10.02	    55.96	106363776	      41979.60	湖南	         42.82亿	20110325	
300381	溢多利	--  	--  	38.02	--  	--  	--  	0	--  	          0.00	--  	--  	--  	38.02	    69.02	0	       2290.00	广东	          8.71亿	20140128	
600195	中牧股份	-0.58	-3.50	16.01	-0.58	15.95	15.96	135047	-0.31	          3.14	16.60	16.64	15.65	16.59	    21.61	217219488	      42980.00	北京	         68.81亿	19990107	
600438	通威股份	-0.45	-4.56	9.42	-0.45	9.42	9.43	118700	0.00	          1.73	9.80	9.87	9.40	9.87	    17.56	113754816	      68752.00	四川	         64.76亿	20040302	
603609	禾丰牧业	-1.17	-6.96	15.64	-1.17	15.63	15.64	132718	-0.06	         16.59	16.81	16.82	15.30	16.81	    38.34	212225520	       8000.00	辽宁	         12.51亿	20140808	
数据来源:通达信
