代码	名称	涨跌	涨幅%%	现价	涨跌	买价	卖价	总量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	流通股本(万)	地区	流通市值	上市日期	
002155	辰州矿业	-0.61	-5.70	10.10	-0.61	10.09	10.10	504432	-0.19	          5.06	10.70	10.70	9.80	10.71	    73.25	516281120	      99608.52	湖南	        100.60亿	20070816	
002237	恒邦股份	-0.92	-5.19	16.81	-0.92	16.81	16.82	174077	-0.11	          4.35	17.76	17.81	16.42	17.73	    24.44	296393024	      40015.00	山东	         67.27亿	20080520	
600311	荣华实业	-0.35	-5.30	6.26	-0.35	6.25	6.26	380613	-0.15	          5.72	6.61	6.61	6.11	6.61	--  	241297360	      66560.00	甘肃	         41.67亿	20010626	
600385	ST金泰	-0.59	-4.18	13.51	-0.59	13.50	13.51	26188	-0.22	          1.83	14.20	14.20	13.40	14.10	   139.28	35655752	      14277.37	山东	         19.29亿	20010723	
600489	中金黄金	-0.47	-4.51	9.94	-0.47	9.94	9.95	1339227	0.00	          4.55	10.40	10.40	9.59	10.41	    55.82	1341230336	     294322.88	北京	        292.56亿	20030814	
600547	山东黄金	-0.87	-4.14	20.15	-0.87	20.13	20.14	547002	0.09	          3.84	21.00	21.00	19.48	21.02	    36.36	1110601600	     142307.23	山东	        286.75亿	20030828	
600766	园城黄金	0.00	0.00	11.55	0.00	--  	--  	0	0.00	          0.00	--  	--  	--  	11.55	   148.77	0	      22393.21	山东	         25.86亿	19961028	
600988	赤峰黄金	-0.63	-5.50	10.82	-0.63	10.81	10.82	215883	-0.18	          7.68	11.43	11.43	10.50	11.45	    34.56	237348224	      28100.63	内蒙	         30.40亿	20040414	
601899	紫金矿业	-0.08	-2.56	3.05	-0.08	3.05	3.06	5967424	0.00	          3.78	3.13	3.19	2.92	3.13	    25.15	1829887104	    1580380.38	福建	        482.02亿	20080425	
数据来源:通达信
