date;open;high;low;close;volume;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD
1990/12/31;96.05;127.61;95.79;127.61;15;;;;;;;;;;;1500.00;;;100.00;100.00;100.00;;;;0.00;0.00;0.00
1991/01/31;127.61;135.19;127.61;129.97;663;;;;;;;;;;;66300.00;;;95.58;98.53;89.70;;;;0.19;0.04;0.30
1991/02/28;129.50;134.87;128.06;133.01;502;;;;;;;;;;;50200.00;;;95.21;97.42;90.79;;;;0.58;0.15;0.86
1991/03/29;132.53;132.53;120.11;120.19;234;;;;;;;;;;;23400.00;;;84.12;92.99;66.38;;;;-0.15;0.09;-0.47
1991/04/30;120.69;122.20;113.89;113.94;696;124.94;;;;;;;;;;69600.00;42200.00;;71.43;85.80;42.70;;;;-1.21;-0.17;-2.08
1991/05/31;113.04;114.83;104.96;114.83;757;122.39;;;;;;;;;;75700.00;57040.00;;63.73;78.45;34.30;;;;-1.96;-0.53;-2.86
1991/06/28;115.90;137.56;114.89;137.56;770;123.91;;;;;;;;;;77000.00;59180.00;;75.82;77.57;72.32;;;;-0.72;-0.57;-0.29
1991/07/31;136.64;143.80;131.87;143.80;1589;126.06;;;;;;;;;;158900.00;80920.00;;83.88;79.67;92.29;;;;0.77;-0.30;2.14
1991/08/30;145.12;178.43;143.80;178.43;799;137.71;;;;;;;;;;79900.00;92220.00;;89.25;82.87;102.03;;;;4.68;0.70;7.98
1991/09/30;180.08;191.18;178.43;180.92;2851;151.11;138.03;;;;;;;;;285100.00;135320.00;88760.00;88.87;84.87;96.87;;;;7.90;2.14;11.52
1991/10/31;181.55;218.60;179.80;218.60;2223;171.86;147.13;;;;;;;;;222300.00;164640.00;110840.00;92.58;87.44;102.86;;;;13.33;4.38;17.91
1991/11/29;220.71;259.85;218.60;259.60;953;196.27;160.09;;;;;;;;;95300.00;168300.00;113740.00;95.00;89.96;105.08;;;;20.71;7.64;26.13
1991/12/31;261.78;292.75;259.67;292.75;424;226.06;176.06;;;;;;;;;42400.00;145000.00;112960.00;96.67;92.19;105.61;;;;28.89;11.89;34.00
1992/01/31;293.74;313.24;292.76;313.24;160;253.02;195.37;;;;;;;;;16000.00;132220.00;112220.00;97.78;94.06;105.22;;;;36.61;16.84;39.56
1992/02/28;314.18;364.67;313.24;364.66;1075;289.77;220.44;;;;;;;;;107500.00;96700.00;116010.00;98.52;95.54;104.47;;;;46.35;22.74;47.22
1992/03/31;365.15;382.06;364.66;381.24;1604;322.30;247.08;;;;;;;;;160400.00;84320.00;124480.00;98.90;96.66;103.38;;;;54.77;29.14;51.25
1992/04/30;381.55;448.94;381.01;445.38;5094;359.45;277.86;;;;;;;;;509400.00;167140.00;167720.00;98.88;97.40;101.83;;;;65.86;36.49;58.74
1992/05/29;454.86;1429.01;439.96;1234.71;10722;547.85;386.95;;;;;;;;;1072200.00;373100.00;259050.00;94.07;96.29;89.64;;;;136.76;56.54;160.44
1992/06/30;1175.69;1249.58;1033.47;1191.19;7931;723.44;488.23;;;;;;;;;793100.00;528520.00;330370.00;89.70;94.10;80.92;;;;187.28;82.69;209.18
1992/07/31;1199.54;1215.24;961.61;1052.07;13873;860.92;575.34;356.68;;;;;;;;1387300.00;784480.00;440590.00;82.76;90.32;67.63;356.68;1078.84;-365.47;213.63;108.88;209.51
1992/08/31;1034.70;1060.36;627.36;823.27;20394;949.32;635.81;391.47;;;;;;;;2039400.00;1160280.00;622300.00;71.24;83.96;45.80;391.47;1133.89;-350.96;213.59;129.82;167.54
1992/09/30;826.96;832.84;595.42;702.32;20889;1000.71;680.08;420.09;;;;;;;;2088900.00;1476180.00;821660.00;59.51;75.81;26.91;420.09;1164.19;-324.02;201.48;144.15;114.65
1992/10/30;676.47;713.77;447.93;507.25;20456;855.22;701.53;438.80;;;;;;;;2045600.00;1670860.00;1021980.00;45.47;65.69;5.01;438.80;1171.24;-293.64;174.13;150.15;47.96
1992/11/30;471.18;752.32;386.85;724.60;32508;761.90;742.67;469.02;;;;;;;;3250800.00;2162400.00;1345460.00;41.58;57.66;9.44;469.02;1195.96;-257.93;168.05;153.73;28.65
1992/12/31;718.99;841.02;592.78;780.39;47608;707.57;784.24;502.34;;;;;;;;4760800.00;2837100.00;1810790.00;40.43;51.91;17.45;502.34;1221.81;-217.13;165.83;156.15;19.36
1993/01/29;784.13;1198.48;777.16;1198.48;73408;782.61;865.97;556.52;;;;;;;;7340800.00;3897380.00;2528830.00;52.91;52.25;54.24;556.52;1315.27;-202.22;195.55;164.03;63.04
1993/02/26;1242.35;1558.95;1196.47;1339.88;122747;910.12;955.42;616.64;;;;;;;;12274700.00;5934540.00;3705360.00;62.38;55.62;75.89;616.64;1424.54;-191.27;227.89;176.80;102.17
1993/03/31;1328.22;1339.10;913.74;925.91;76208;993.85;924.54;655.74;;;;;;;;7620800.00;7049580.00;4360220.00;56.91;56.05;58.64;655.74;1442.72;-131.24;217.60;184.96;65.28
1993/04/30;921.59;1392.62;915.59;1358.78;129973;1120.69;941.30;714.76;;;;;;;;12997300.00;8998880.00;5580640.00;65.58;59.23;78.29;714.76;1527.64;-98.11;241.59;196.29;90.61
1993/05/31;1365.15;1380.50;930.64;935.48;66114;1151.71;929.64;752.49;;;;;;;;6611400.00;9369000.00;6103050.00;59.33;59.26;59.45;752.49;1530.33;-25.35;223.87;201.80;44.13
1993/06/30;935.90;1177.91;859.48;1007.05;90641;1113.42;948.01;791.91;;;;;;;;9064100.00;9713659.00;6805519.50;57.19;58.57;54.42;791.91;1534.96;48.87;213.14;204.07;18.14
1993/07/30;1000.80;1009.89;777.73;881.07;65594;1021.66;965.89;822.99;;;;;;;;6559400.00;8570601.00;7252570.50;52.18;56.44;43.66;822.99;1523.04;122.93;192.26;201.71;-18.90
1993/08/31;885.31;1042.47;823.00;895.68;149758;1015.61;1004.73;853.13;;;;;;;;14975800.00;10041599.00;8545590.00;45.24;52.71;30.30;853.13;1507.48;198.79;174.87;196.34;-42.94
1993/09/30;898.01;947.53;864.38;890.27;61938;921.91;1021.30;881.98;;;;;;;;6193800.00;8680901.00;8839890.00;34.98;46.80;11.35;881.98;1484.97;279.00;158.83;188.84;-60.03
1993/10/29;895.69;934.40;774.54;814.82;151446;897.78;1024.74;904.49;;;;;;;;15144600.00;10387539.00;9878270.00;25.03;39.54;-3.99;904.49;1457.72;351.26;138.43;178.76;-80.66
1993/11/30;801.86;1011.76;793.32;984.93;269265;893.35;1003.39;934.68;;;;;;;;26926500.00;13960019.00;11836839.00;28.03;35.71;12.69;934.68;1430.61;438.74;134.43;169.89;-70.92
1993/12/31;993.67;1044.85;750.46;833.80;281854;883.90;952.78;954.10;;;;;;;;28185400.00;18285220.00;13427910.00;23.02;31.48;6.09;954.10;1396.93;511.26;117.72;159.46;-83.48
1994/01/31;837.70;907.09;760.78;770.25;242444;858.81;937.21;930.87;;;;;;;;24244400.00;20138940.00;15090270.00;16.39;26.45;-3.72;930.87;1360.26;501.49;98.21;147.21;-97.99
1994/02/28;770.25;818.57;749.63;770.98;150684;834.96;878.43;909.86;;;;;;;;15068400.00;21913860.00;15297380.00;12.59;21.83;-5.89;909.86;1326.55;493.18;81.87;134.14;-104.54
1994/03/31;771.52;807.52;694.03;704.46;535396;812.88;855.33;892.48;;;;;;;;53539600.00;29592860.00;19990200.00;9.38;17.68;-7.21;892.48;1313.17;471.79;62.82;119.88;-114.11
1994/04/29;704.93;705.41;536.34;592.56;393132;734.41;813.88;880.95;;;;;;;;39313200.00;32070202.00;23015110.00;9.94;15.10;-0.38;880.95;1321.80;440.10;38.26;103.55;-130.59
1994/05/31;593.94;620.94;537.78;556.26;419438;678.90;781.40;873.64;;;;;;;;41943800.00;34821880.00;26553550.00;7.93;12.71;-1.62;873.64;1331.47;415.82;15.68;85.98;-140.59
1994/06/30;554.08;556.90;458.74;469.29;211912;618.71;738.76;871.75;;;;;;;;21191200.00;34211240.00;27175092.00;5.89;10.44;-3.21;871.75;1336.23;407.26;-9.12;66.96;-152.16
