date;open;high;low;close;volume;MA2.MA1;MA2.MA2;MA2.MA3;MA2.MA4;MA2.MA5;MA2.MA6;MA2.MA7;MA2.MA8;MA2.MA9;MA2.MA10;VOL.VOLUME;VOL.MAVOL1;VOL.MAVOL2;KDJ.K;KDJ.D;KDJ.J;BOLL.BOLL;BOLL.UB;BOLL.LB;MACD.DIF;MACD.DEA;MACD.MACD;
1990/12/21;96.05;109.13;95.79;109.13;13;;;;;;;;;;;1300.00;;;100.00;100.00;100.00;;;;0.00;0.00;0.00;
1990/12/28;113.57;126.45;109.13;126.45;2;;;;;;;;;;;200.00;;;100.00;100.00;100.00;;;;1.38;0.28;2.21;
1991/01/04;126.56;131.44;126.48;131.44;5;;;;;;;;;;;500.00;;;100.00;100.00;100.00;;;;2.85;0.79;4.11;
1991/01/11;131.99;134.61;131.45;134.60;319;;;;;;;;;;;31900.00;;;99.99;100.00;99.98;;;;4.21;1.48;5.48;
1991/01/18;134.11;135.19;133.65;134.24;180;127.17;;;;;;;;;;18000.00;10380.00;;99.19;99.73;98.12;;;;5.21;2.22;5.97;
1991/01/25;133.70;134.24;132.03;132.05;85;131.76;;;;;;;;;;8500.00;11820.00;;96.80;98.75;92.90;;;;5.75;2.93;5.65;
1991/02/01;131.46;131.55;129.45;129.51;77;132.37;;;;;;;;;;7700.00;13320.00;;93.06;96.86;85.48;;;;5.91;3.52;4.77;
1991/02/08;129.05;130.39;128.06;130.38;189;132.16;;;;;;;;;;18900.00;17000.00;;91.31;95.01;83.91;;;;6.04;4.03;4.02;
1991/02/14;130.92;132.53;130.39;132.53;177;131.74;;;;;;;;;;17700.00;14160.00;;91.95;93.99;87.88;;;;6.24;4.47;3.54;
1991/02/22;133.12;134.87;133.08;134.87;91;131.87;129.52;;;;;;;;;9100.00;12380.00;11380.00;94.23;94.07;94.54;;;;6.51;4.88;3.27;
1991/03/01;134.37;134.87;132.47;132.53;113;131.96;131.86;;;;;;;;;11300.00;12940.00;12380.00;85.97;91.37;75.18;;;;6.47;5.20;2.54;
1991/03/08;132.09;132.09;129.84;129.89;55;132.04;132.20;;;;;129.80;;;;5500.00;12500.00;12910.00;65.87;82.87;31.87;;;;6.15;5.39;1.52;
1991/03/15;129.30;129.89;125.08;125.17;28;131.00;131.58;;;;;131.14;;;;2800.00;9280.00;13140.00;44.21;69.98;-7.34;;;;5.45;5.40;0.10;
1991/03/22;124.70;125.17;122.62;122.62;29;129.02;130.38;;;;;130.82;;;;2900.00;6320.00;10240.00;29.47;56.48;-24.54;;;;4.64;5.25;-1.22;
1991/03/29;122.12;122.62;120.11;120.19;51;126.08;128.97;;;;;129.88;;;;5100.00;5520.00;8950.00;19.83;44.26;-29.04;;;;3.75;4.95;-2.39;
1991/04/05;120.69;122.20;119.68;121.54;367;123.88;127.92;;;;;128.79;;;;36700.00;10600.00;11770.00;17.30;35.28;-18.65;;;;3.13;4.58;-2.91;
1991/04/12;121.11;121.11;119.15;119.21;30;121.75;126.89;;;;;127.54;;;;3000.00;10100.00;11300.00;11.66;27.40;-19.82;;;;2.41;4.15;-3.47;
1991/04/19;118.73;119.22;117.05;117.08;13;120.13;125.56;;;;;126.29;;;;1300.00;9800.00;9540.00;7.83;20.88;-18.27;;;;1.66;3.65;-3.99;
1991/04/26;116.63;117.08;114.52;115.56;154;118.72;123.87;;;;;125.13;;;;15400.00;12300.00;9310.00;6.92;16.23;-11.68;;;;0.93;3.11;-4.36;
1991/05/03;114.86;116.29;112.30;112.41;188;117.16;121.62;125.57;;;;123.63;;;;18800.00;15040.00;10280.00;4.80;12.42;-10.43;125.57;141.36;109.78;0.09;2.50;-4.83;
1991/05/10;111.65;112.41;108.53;108.53;73;114.56;119.22;125.54;;;;121.63;;;;7300.00;9160.00;9880.00;3.20;9.35;-9.09;125.54;141.47;109.61;-0.87;1.83;-5.40;
1991/05/17;107.88;107.88;104.96;106.75;239;112.07;116.91;124.56;;;;119.29;;;;23900.00;13340.00;11720.00;5.09;7.93;-0.59;124.56;142.55;106.56;-1.76;1.11;-5.75;
1991/05/24;107.76;110.08;106.71;110.08;267;110.67;115.40;123.49;;;;117.42;;;;26700.00;18420.00;14110.00;13.05;9.64;19.89;123.49;142.28;104.70;-2.17;0.45;-5.25;
1991/05/31;111.05;114.83;109.47;114.83;122;110.52;114.62;122.50;;;;116.16;;;;12200.00;17780.00;15040.00;27.79;15.69;51.99;122.50;140.90;104.09;-2.09;-0.06;-4.07;
1991/06/07;115.90;120.47;114.89;120.47;51;112.13;114.65;121.81;;;;115.77;;;;5100.00;15040.00;15040.00;50.54;27.30;97.00;121.81;139.38;104.24;-1.55;-0.36;-2.40;
1991/06/14;121.65;126.34;120.47;124.53;296;115.33;114.95;121.43;;;;115.93;122.95;;;29600.00;19500.00;14330.00;64.20;39.60;113.40;121.43;138.39;104.48;-0.79;-0.44;-0.69;
1991/06/21;125.63;130.86;123.54;130.86;261;120.15;116.11;121.50;;;;116.82;123.78;;;26100.00;19940.00;16640.00;76.14;51.78;124.84;121.50;138.60;104.40;0.32;-0.29;1.22;
1991/06/28;132.10;137.56;131.80;137.56;162;125.65;118.16;121.86;;;;118.16;124.21;;;16200.00;17840.00;18130.00;84.09;62.55;127.17;121.86;140.01;103.71;1.72;0.11;3.22;
1991/07/05;136.64;138.62;134.19;135.96;562;129.88;120.20;122.03;;;;119.55;124.38;;;56200.00;26640.00;22210.00;86.76;70.62;119.04;122.03;140.67;103.40;2.68;0.63;4.10;
1991/07/12;135.26;136.57;132.42;132.80;283;132.34;122.24;121.93;;;;120.86;124.31;;;28300.00;31280.00;23160.00;85.41;75.55;105.13;121.93;140.29;103.57;3.14;1.13;4.02;
1991/07/19;133.90;138.54;131.87;136.70;268;134.78;125.05;122.14;;;;122.62;124.41;;;26800.00;30720.00;25110.00;88.27;79.79;105.22;122.14;141.09;103.19;3.78;1.66;4.24;
1991/07/26;138.07;141.46;136.70;140.66;333;136.74;128.45;122.68;;;;124.98;124.74;;;33300.00;32160.00;26050.00;91.34;83.64;106.75;122.68;143.11;102.24;4.55;2.24;4.63;
1991/08/02;141.22;146.68;140.81;146.68;307;138.56;132.11;123.75;;;;128.16;125.40;;;30700.00;35060.00;26450.00;94.23;87.17;108.35;123.75;146.83;100.67;5.58;2.91;5.35;
1991/08/09;148.06;154.10;146.68;154.10;138;142.19;136.03;125.33;;;;132.10;126.31;;;13800.00;26580.00;26610.00;96.15;90.16;108.13;125.33;152.08;98.57;6.92;3.71;6.42;
1991/08/16;155.34;161.60;154.10;161.60;317;147.95;140.15;127.40;;;;136.40;127.43;;;31700.00;27260.00;29270.00;97.44;92.59;107.13;127.40;158.53;96.26;8.49;4.66;7.65;
1991/08/23;163.21;169.81;161.60;169.81;66;154.57;144.67;129.81;;;;140.98;128.77;;;6600.00;23220.00;26970.00;98.29;94.49;105.89;129.81;166.09;93.53;10.27;5.79;8.98;
1991/08/30;171.51;178.43;169.81;178.43;114;162.12;149.43;132.77;;;;145.81;130.54;;;11400.00;18840.00;25500.00;98.86;95.95;104.69;132.77;174.64;90.90;12.25;7.08;10.33;
1991/09/06;180.08;187.36;178.43;187.36;76;170.26;154.41;136.28;;;;151.04;132.75;;;7600.00;14220.00;24640.00;99.24;97.04;103.63;136.28;184.00;88.57;14.36;8.53;11.65;
1991/09/13;189.10;190.98;185.01;187.79;1152;177.00;159.59;139.90;;;;155.79;135.16;;;115200.00;34500.00;30540.00;97.69;97.26;98.56;139.90;191.76;88.03;15.89;10.01;11.77;
1991/09/20;189.55;191.18;185.66;185.92;899;181.86;164.90;143.57;;;;159.82;137.59;;;89900.00;46140.00;36700.00;95.24;96.59;92.56;143.57;197.61;89.53;16.76;11.36;10.80;
1991/09/27;185.00;185.92;181.19;181.82;469;184.26;169.42;147.24;;;;163.64;139.96;;;46900.00;54200.00;38710.00;90.64;94.60;82.70;147.24;201.21;93.26;16.92;12.47;8.90;
1991/10/04;180.28;184.29;179.80;184.29;515;185.44;173.78;151.11;;;;167.93;142.38;;;51500.00;62220.00;40530.00;88.60;92.60;80.58;151.11;203.97;98.26;17.05;13.39;7.33;
1991/10/11;185.95;192.88;185.41;192.85;734;186.53;178.40;155.25;;;;172.61;145.21;;;73400.00;75380.00;44800.00;92.37;92.52;92.06;155.25;207.54;102.96;17.64;14.24;6.81;
1991/10/18;194.06;202.51;192.32;202.51;508;189.48;183.24;159.63;;;;177.76;148.49;;;50800.00;62500.00;48500.00;94.91;93.32;98.10;159.63;212.35;106.92;18.67;15.12;7.10;
1991/10/25;204.53;211.97;202.51;211.86;601;194.67;188.26;164.20;;;;183.19;152.20;;;60100.00;56540.00;51340.00;96.52;94.39;100.79;164.20;218.45;109.96;20.02;16.10;7.83;
1991/11/01;213.50;220.72;211.86;220.72;179;202.45;193.36;169.01;;;;188.75;156.36;;;17900.00;50740.00;52470.00;97.68;95.49;102.07;169.01;225.46;112.57;21.55;17.19;8.71;
1991/11/08;222.77;231.22;220.79;231.22;292;211.83;198.63;174.03;;;;194.55;161.08;;;29200.00;46280.00;54250.00;98.45;96.48;102.41;174.03;233.93;114.13;23.34;18.42;9.83;
1991/11/15;233.48;238.25;231.22;238.25;67;220.91;203.72;179.07;;;;200.25;166.14;;;6700.00;32940.00;54160.00;98.97;97.31;102.29;179.07;242.86;115.27;25.04;19.74;10.58;
1991/11/22;240.04;248.53;238.25;248.53;106;230.12;209.80;184.70;;;;206.09;171.47;;;10600.00;24900.00;43700.00;99.31;97.98;101.99;184.70;252.23;117.16;26.90;21.17;11.45;
1991/11/29;250.84;259.85;248.53;259.60;429;239.66;217.17;191.04;;;;212.11;177.03;;;42900.00;21460.00;39000.00;99.44;98.46;101.39;191.04;261.79;120.28;28.94;22.73;12.42;
1991/12/06;261.78;269.35;259.67;269.35;245;249.39;225.92;197.67;;;;218.91;182.76;;;24500.00;22780.00;36760.00;99.63;98.85;101.17;197.67;271.77;123.57;30.98;24.38;13.21;
1991/12/13;270.27;277.00;269.35;277.00;49;258.55;235.19;204.48;;;;226.50;188.62;;;4900.00;17920.00;32100.00;99.75;99.15;100.95;204.48;281.53;127.44;32.84;26.07;13.54;
1991/12/20;277.53;282.83;277.00;282.83;69;267.46;244.19;211.29;;;;234.92;194.47;;;6900.00;17960.00;25450.00;99.83;99.38;100.74;211.29;290.85;131.74;34.39;27.73;13.31;
1991/12/27;285.65;290.85;282.83;290.85;45;275.93;253.02;218.13;;;;243.80;200.37;;;4500.00;16740.00;20820.00;99.89;99.55;100.57;218.13;300.45;135.81;35.85;29.36;12.98;
1992/01/03;291.71;296.52;290.85;296.52;39;283.31;261.49;224.88;;;;252.44;206.54;;;3900.00;8940.00;15200.00;99.93;99.67;100.43;224.88;309.76;139.99;37.04;30.89;12.29;
1992/01/10;297.68;301.83;296.52;301.83;73;289.81;269.60;231.48;;;;260.71;213.04;;;7300.00;5500.00;14140.00;99.95;99.77;100.32;231.48;318.83;144.12;37.97;32.31;11.32;
1992/01/17;302.83;307.38;302.00;307.38;20;295.88;277.21;237.92;;;;268.67;219.61;;;2000.00;4920.00;11420.00;99.97;99.83;100.23;237.92;327.79;148.06;38.71;33.59;10.24;
1992/01/24;307.38;309.05;307.38;309.05;23;301.13;284.29;244.01;;;;276.03;226.08;;;2300.00;4000.00;10980.00;99.98;99.88;100.17;244.01;335.92;152.10;38.98;34.67;8.63;
1992/01/31;311.60;313.24;309.05;313.24;21;305.60;290.76;250.28;;;;282.87;232.49;;;2100.00;3520.00;10130.00;99.99;99.92;100.12;250.28;343.15;157.41;39.08;35.55;7.07;
1992/02/07;314.18;314.72;313.24;314.72;6;309.24;296.28;256.72;175.29;;;289.24;238.67;;;600.00;2860.00;5900.00;99.99;99.94;100.09;256.72;348.66;164.78;38.84;36.21;5.26;
1992/02/14;315.55;319.68;314.72;319.68;21;312.81;301.31;263.61;178.80;;;295.17;244.75;;;2100.00;1820.00;3660.00;99.99;99.96;100.06;263.61;352.53;174.70;38.60;36.69;3.82;
1992/02/21;319.77;359.93;319.68;359.59;449;323.26;309.57;272.38;182.68;;;303.50;252.05;;;44900.00;10400.00;7660.00;99.85;99.92;99.70;272.38;362.92;181.84;41.15;37.58;7.15;
1992/02/28;361.11;364.67;357.07;364.66;599;334.38;317.75;280.97;186.57;;;311.45;259.21;;;59900.00;21920.00;12960.00;99.89;99.91;99.86;280.97;372.33;189.61;43.09;38.68;8.82;
1992/03/06;365.15;371.76;364.66;371.76;254;346.08;325.84;289.43;190.52;;;319.34;266.30;;;25400.00;26580.00;15050.00;99.93;99.92;99.95;289.43;381.55;197.32;44.69;39.88;9.60;
1992/03/13;372.26;377.57;371.88;376.38;427;358.41;333.83;297.66;194.56;;;327.14;273.55;;;42700.00;35000.00;18930.00;99.43;99.76;98.77;297.66;389.99;205.33;45.79;41.06;9.46;
1992/03/20;377.00;378.32;376.21;377.99;241;370.08;341.45;305.52;198.66;;;334.40;280.94;;;24100.00;39400.00;20610.00;99.46;99.66;99.08;305.52;397.05;214.00;46.27;42.11;8.32;
1992/03/27;378.61;380.79;377.45;380.77;383;374.31;348.78;313.00;202.84;;;341.42;288.59;;;38300.00;38080.00;24240.00;99.63;99.65;99.60;313.00;403.40;222.60;46.33;42.95;6.77;
1992/04/03;381.54;382.06;380.76;381.33;372;377.65;356.01;320.15;207.03;;;348.05;296.17;;;37200.00;33540.00;27730.00;99.40;99.57;99.07;320.15;408.26;232.05;45.90;43.54;4.72;
1992/04/10;381.97;382.88;381.20;382.03;277;379.70;362.89;326.83;211.18;;;354.27;303.45;;;27700.00;34000.00;30290.00;99.19;99.44;98.68;326.83;412.27;241.38;45.10;43.85;2.49;
1992/04/17;387.27;414.42;382.03;414.42;952;387.31;372.86;334.57;215.84;;;363.05;311.60;;;95200.00;44500.00;39750.00;99.46;99.45;99.48;334.57;422.39;246.75;46.54;44.39;4.29;
1992/04/24;417.19;421.55;394.60;414.40;2012;394.59;382.33;341.82;220.54;;;371.48;319.39;;;201200.00;79920.00;59660.00;95.94;98.28;91.27;341.82;430.91;252.73;47.13;44.94;4.39;
1992/04/30;422.45;448.94;413.47;445.38;1780;407.51;390.91;350.24;225.80;;;382.37;328.03;;;178000.00;107860.00;72970.00;95.89;97.48;92.70;350.24;445.17;255.31;49.53;45.86;7.35;
1992/05/08;454.86;468.42;439.96;468.11;2302;424.87;401.26;359.50;231.52;;;394.74;337.14;;;230200.00;146460.00;90000.00;97.15;97.37;96.71;359.50;462.55;256.46;52.66;47.22;10.89;
1992/05/15;483.29;544.56;468.11;544.35;1941;457.33;418.52;372.18;238.54;;;410.13;348.91;;;194100.00;179740.00;106870.00;98.06;97.60;98.98;372.18;499.24;245.12;60.60;49.89;21.40;
1992/05/22;560.09;1349.71;544.35;1339.99;3265;642.45;514.88;424.35;258.87;;;491.41;390.89;;;326500.00;226000.00;135250.00;98.37;97.86;99.40;424.35;872.31;-23.61;129.59;65.83;127.52;
1992/05/29;1411.98;1429.01;823.36;1234.71;3214;806.51;600.55;471.00;277.43;;;563.32;428.40;;;321400.00;250040.00;164980.00;92.74;96.15;85.91;471.00;1042.48;-100.49;173.77;87.42;172.70;
1992/06/05;1175.69;1249.58;1033.47;1105.76;2014;938.58;673.05;510.92;293.87;;;624.10;460.57;;;201400.00;254720.00;181290.00;84.87;92.39;69.84;510.92;1142.64;-120.81;196.12;109.16;173.92;
1992/06/12;1092.07;1206.51;1079.65;1171.71;2045;1079.30;752.09;554.05;311.45;;;690.25;494.98;;;204500.00;249580.00;198020.00;81.72;88.84;67.50;554.05;1242.95;-134.86;216.65;130.66;171.99;
1992/06/19;1174.41;1186.59;1152.69;1171.94;1617;1204.82;831.08;596.98;329.05;;;756.18;529.17;;;161700.00;243100.00;211420.00;79.53;85.73;67.13;596.98;1328.42;-134.45;230.29;150.59;159.41;
